,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Henrik Zetterberg,30.0,LW,80,24,56,80,-1,40,14,10,0,3,35.0,20.0,1.0,306,7.8,1567.0,19:35,6.8,1.4,8.2,19.0,38,516.0,468.0,52.4
1,2.0,Nicklas Lidström,40.0,D,82,16,46,62,-2,20,9,7,0,1,13.0,32.0,1.0,175,9.1,1924.0,23:28,6.2,3.3,9.5,92.0,49,0.0,0.0,
2,3.0,Pavel Datsyuk,32.0,C,56,23,36,59,11,15,16,6,1,5,24.0,12.0,0.0,137,16.8,1082.0,19:19,5.8,1.5,7.3,20.0,54,429.0,356.0,54.6
3,4.0,Johan Franzén,31.0,C,76,28,27,55,5,58,18,10,0,5,20.0,7.0,0.0,248,11.3,1325.0,17:26,5.2,1.5,6.7,29.0,143,74.0,73.0,50.3
4,5.0,Brian Rafalski,37.0,D,63,4,44,48,11,22,4,0,0,0,27.0,17.0,0.0,106,3.8,1287.0,20:25,4.1,3.2,7.4,54.0,49,0.0,0.0,
5,6.0,Dan Cleary,32.0,LW,68,26,20,46,-1,20,21,5,0,8,17.0,3.0,0.0,192,13.5,1131.0,16:38,4.6,1.0,5.6,25.0,112,35.0,56.0,38.5
6,7.0,Todd Bertuzzi,35.0,RW,81,16,29,45,-7,71,14,2,0,2,24.0,5.0,0.0,138,11.6,1293.0,15:57,2.9,0.9,3.8,21.0,110,18.0,22.0,45.0
7,8.0,Valtteri Filppula,26.0,C,71,16,23,39,-1,22,12,4,0,5,19.0,4.0,0.0,115,13.9,1187.0,16:43,2.6,1.1,3.6,25.0,30,478.0,450.0,51.5
8,9.0,Tomas Holmström,38.0,LW,73,18,19,37,-6,62,8,10,0,1,9.0,10.0,0.0,125,14.4,1081.0,14:48,2.9,0.8,3.6,11.0,81,1.0,0.0,100.0
9,10.0,Niklas Kronwall,30.0,D,77,11,26,37,5,36,6,5,0,3,18.0,8.0,0.0,131,8.4,1761.0,22:52,3.2,3.6,6.7,129.0,113,0.0,0.0,
10,11.0,Jiri Hudler,27.0,C,73,10,27,37,-7,28,7,3,0,2,18.0,9.0,0.0,105,9.5,997.0,13:40,2.2,0.7,2.9,11.0,35,31.0,39.0,44.3
11,12.0,Darren Helm,24.0,C,82,12,20,32,9,16,10,0,2,2,19.0,0.0,1.0,177,6.8,1091.0,13:18,1.6,1.4,3.0,30.0,128,493.0,445.0,52.6
12,13.0,Patrick Eaves,26.0,RW,63,13,7,20,-2,14,10,2,1,1,7.0,0.0,0.0,108,12.0,800.0,12:42,1.3,0.7,2.0,27.0,106,3.0,7.0,30.0
13,14.0,Brad Stuart,31.0,D,67,3,17,20,4,40,2,1,0,1,15.0,1.0,1.0,81,3.7,1442.0,21:32,0.8,2.9,3.7,114.0,131,0.0,0.0,
14,15.0,Justin Abdelkader,23.0,LW,74,7,12,19,15,61,7,0,0,1,11.0,0.0,1.0,129,5.4,910.0,12:18,0.2,1.5,1.7,39.0,188,227.0,203.0,52.8
15,16.0,Drew Miller,26.0,LW,67,10,8,18,-2,13,9,0,1,2,8.0,0.0,0.0,85,11.8,787.0,11:45,0.8,0.7,1.4,58.0,84,4.0,13.0,23.5
16,17.0,Mike Modano,40.0,C,40,4,11,15,-4,8,3,1,0,0,6.0,5.0,0.0,79,5.1,498.0,12:27,0.6,0.3,0.9,10.0,7,133.0,141.0,48.5
17,18.0,Jonathan Ericsson,26.0,D,74,3,12,15,8,87,2,1,0,0,12.0,0.0,0.0,89,3.4,1394.0,18:50,0.3,3.2,3.5,37.0,107,0.0,0.0,
18,19.0,Kris Draper,39.0,C,47,6,5,11,1,12,6,0,0,1,5.0,0.0,0.0,57,10.5,491.0,10:27,0.4,0.5,0.9,11.0,45,95.0,73.0,56.5
19,20.0,Ruslan Salei,36.0,D,75,2,8,10,0,48,2,0,0,0,8.0,0.0,0.0,75,2.7,1347.0,17:58,-0.3,2.4,2.1,109.0,117,0.0,0.0,
20,21.0,Jakub Kindl,23.0,D,48,2,2,4,-6,36,2,0,0,0,2.0,0.0,0.0,62,3.2,653.0,13:37,-0.1,0.7,0.6,36.0,44,0.0,0.0,
21,22.0,Cory Emmerton,22.0,C,2,1,0,1,1,0,1,0,0,0,0.0,0.0,0.0,3,33.3,17.0,8:21,0.2,0.1,0.2,0.0,0,0.0,1.0,0.0
22,23.0,Jan Mursak,23.0,LW,19,1,0,1,-3,4,1,0,0,0,0.0,0.0,0.0,20,5.0,156.0,8:12,-0.2,0.0,-0.2,3.0,14,3.0,3.0,50.0
23,24.0,Tomas Tatar,20.0,C,9,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,6,16.7,86.0,9:36,0.0,0.1,0.1,0.0,7,0.0,0.0,
24,25.0,Jimmy Howard,26.0,G,63,0,1,1,0,4,0,0,0,0,,,,0,,3615.0,57:23,0.0,0.0,9.9,0.0,0,0.0,0.0,
25,26.0,Doug Janik,30.0,D,7,0,0,0,-2,7,0,0,0,0,0.0,0.0,0.0,8,0.0,93.0,13:13,-0.1,0.0,-0.1,7.0,2,0.0,0.0,
26,27.0,Joey MacDonald,30.0,G,15,0,0,0,0,0,0,0,0,0,,,,0,,721.0,48:03,0.0,0.0,2.4,0.0,0,0.0,0.0,
27,28.0,Thomas McCollum,21.0,G,1,0,0,0,0,0,0,0,0,0,,,,0,,15.0,14:37,0.0,0.0,-0.2,,0,,,
28,29.0,Chris Osgood,38.0,G,11,0,0,0,0,4,0,0,0,0,,,,0,,629.0,57:09,0.0,0.0,1.4,0.0,0,0.0,0.0,
