,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Pavel Datsyuk,25.0,C,75,30,38,68,-2,35,21,8,1,4,23.0,15.0,0.0,136,22.1,1370.0,18:16,7.2,1.2,8.4
1,2.0,Brett Hull,39.0,RW,81,25,43,68,-4,12,15,10,0,6,30.0,13.0,0.0,200,12.5,1369.0,16:54,6.6,1.2,7.8
2,3.0,Brendan Shanahan,35.0,LW,82,25,28,53,15,117,17,8,0,7,16.0,11.0,1.0,280,8.9,1483.0,18:05,4.6,2.1,6.7
3,4.0,Steve Yzerman,38.0,C,75,18,33,51,10,46,11,7,0,3,21.0,11.0,1.0,141,12.8,1315.0,17:32,4.1,1.7,5.8
4,5.0,Mathieu Schneider,34.0,D,78,14,32,46,22,56,9,4,1,4,16.0,16.0,0.0,165,8.5,1910.0,24:29,4.5,5.2,9.8
5,6.0,Henrik Zetterberg,23.0,LW,61,15,28,43,15,14,7,7,1,2,19.0,6.0,3.0,137,10.9,1113.0,18:15,3.4,1.7,5.1
6,7.0,Ray Whitney,31.0,LW,67,14,29,43,7,22,10,3,1,4,19.0,9.0,1.0,119,11.8,1099.0,16:24,3.3,1.4,4.7
7,8.0,Kris Draper,32.0,C,67,24,16,40,22,31,17,2,5,1,12.0,2.0,2.0,149,16.1,1188.0,17:44,3.9,2.1,6.0
8,9.0,Nicklas Lidström,33.0,D,81,10,28,38,19,18,6,3,1,3,8.0,18.0,2.0,194,5.2,2240.0,27:39,2.8,5.5,8.4
9,10.0,Kirk Maltby,31.0,LW,79,14,19,33,24,80,9,1,4,4,16.0,0.0,3.0,123,11.4,1285.0,16:16,1.7,2.3,4.0
10,11.0,Tomas Holmström,31.0,RW,67,15,15,30,8,38,9,6,0,0,8.0,7.0,0.0,74,20.3,830.0,12:23,2.7,1.1,3.9
11,12.0,Steve Thomas,40.0,LW,44,10,12,22,8,25,10,0,0,3,11.0,1.0,0.0,80,12.5,561.0,12:45,2.0,0.9,2.9
12,13.0,Chris Chelios,42.0,D,69,2,19,21,12,61,2,0,0,0,19.0,0.0,0.0,113,1.8,1473.0,21:21,0.9,3.6,4.5
13,14.0,Jiri Fischer,23.0,D,81,4,15,19,0,75,3,1,0,0,13.0,0.0,2.0,115,3.5,1499.0,18:30,0.9,2.6,3.5
14,15.0,Jason Woolley,34.0,D,55,4,15,19,19,28,4,0,0,1,9.0,6.0,0.0,60,6.7,864.0,15:42,1.6,3.1,4.7
15,16.0,Boyd Devereaux,25.0,RW,61,6,9,15,-1,20,6,0,0,2,8.0,1.0,0.0,62,9.7,608.0,9:58,0.7,0.5,1.2
16,17.0,Jason Williams,23.0,C,49,6,7,13,1,15,6,0,0,0,7.0,0.0,0.0,44,13.6,463.0,9:27,0.8,0.5,1.3
17,18.0,Mathieu Dandenault,27.0,D,65,3,9,12,9,40,2,0,1,0,8.0,1.0,0.0,68,4.4,896.0,13:47,0.7,2.3,3.0
18,19.0,Darren McCarty,31.0,RW,43,6,5,11,2,50,5,1,0,0,5.0,0.0,0.0,61,9.8,530.0,12:20,0.4,0.6,1.0
19,20.0,Mark Mowers,29.0,LW,52,3,8,11,3,4,2,1,0,1,8.0,0.0,0.0,48,6.3,544.0,10:27,0.1,0.7,0.7
20,21.0,Jamie Rivers,28.0,D,50,3,4,7,9,41,3,0,0,0,4.0,0.0,0.0,31,9.7,512.0,10:14,0.5,1.7,2.2
21,22.0,Niklas Kronwall,23.0,D,20,1,4,5,5,16,1,0,0,1,4.0,0.0,0.0,18,5.6,277.0,13:51,0.4,0.9,1.3
22,23.0,Robert Lang,33.0,C,6,1,4,5,2,0,1,0,0,1,2.0,2.0,0.0,14,7.1,98.0,16:20,0.4,0.2,0.6
23,24.0,Derian Hatcher,31.0,D,15,0,4,4,4,8,0,0,0,0,3.0,1.0,0.0,18,0.0,295.0,19:38,0.1,0.9,1.0
24,25.0,Jiri Hudler,20.0,C,12,1,2,3,-1,10,0,1,0,0,2.0,0.0,0.0,8,12.5,98.0,8:10,0.2,0.1,0.2
25,26.0,Darryl Bootland,22.0,RW,22,1,1,2,-3,74,1,0,0,1,1.0,0.0,0.0,13,7.7,134.0,6:07,0.0,0.0,0.0
26,27.0,Dominik Hasek,39.0,G,14,0,2,2,0,2,0,0,0,0,,,,0,,817.0,58:20,0.0,0.0,1.8
27,28.0,Kevin Miller,38.0,RW,4,0,2,2,2,0,0,0,0,0,2.0,0.0,0.0,2,0.0,29.0,7:21,0.1,0.1,0.3
28,29.0,Anders Myrvold,28.0,D,8,0,1,1,-1,2,0,0,0,0,1.0,0.0,0.0,6,0.0,98.0,12:12,0.0,0.1,0.1
29,30.0,Ryan Barnes,24.0,LW,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,5.0,2:22,0.0,0.0,0.0
30,31.0,Curtis Joseph,36.0,G,31,0,0,0,0,2,0,0,0,0,,,,0,,1708.0,55:06,0.0,0.0,4.3
31,32.0,Marc Lamothe,29.0,G,2,0,0,0,0,0,0,0,0,0,,,,0,,125.0,62:17,0.0,0.0,0.6
32,33.0,Manny Legace,30.0,G,41,0,0,0,0,0,0,0,0,0,,,,0,,2325.0,56:43,0.0,0.0,7.3
33,34.0,Nathan Robinson,22.0,C,5,0,0,0,-1,2,0,0,0,0,0.0,0.0,0.0,5,0.0,30.0,6:01,-0.1,0.0,-0.1
