,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Pavel Datsyuk,31.0,C,80,27,43,70,17,18,18,9,0,3,27.0,16.0,0.0,203,13.3,1628.0,20:21,5.8,2.7,8.6,33,85,589,478,55.2
1,2.0,Henrik Zetterberg,29.0,LW,74,23,47,70,12,26,20,3,0,6,27.0,19.0,1.0,309,7.4,1485.0,20:04,5.8,2.4,8.2,34,44,536,543,49.7
2,3.0,Nicklas Lidström,39.0,D,82,9,40,49,22,24,4,5,0,1,22.0,15.0,3.0,194,4.6,2085.0,25:26,3.8,6.9,10.7,82,56,0,0,
3,4.0,Tomas Holmström,37.0,LW,68,25,20,45,5,60,12,13,0,5,11.0,9.0,0.0,131,19.1,1075.0,15:49,4.5,1.6,6.1,6,69,0,1,0.0
4,5.0,Todd Bertuzzi,34.0,RW,82,18,26,44,-7,80,14,4,0,4,19.0,7.0,0.0,216,8.3,1375.0,16:46,2.8,1.4,4.2,19,104,11,12,47.8
5,6.0,Brian Rafalski,36.0,D,78,8,34,42,23,26,3,5,0,1,20.0,14.0,0.0,134,6.0,1890.0,24:14,3.2,6.5,9.7,101,39,0,0,
6,7.0,Valtteri Filppula,25.0,C,55,11,24,35,-4,24,9,1,1,1,16.0,7.0,1.0,114,9.6,1003.0,18:14,2.1,1.1,3.2,25,34,292,266,52.3
7,8.0,Dan Cleary,31.0,LW,64,15,19,34,-3,29,13,2,0,2,14.0,5.0,0.0,140,10.7,1103.0,17:14,2.1,1.3,3.4,25,119,59,60,49.6
8,9.0,Darren Helm,23.0,C,75,11,13,24,-2,18,8,0,3,3,13.0,0.0,0.0,165,6.7,1087.0,14:30,0.7,1.3,1.9,48,185,437,428,50.5
9,10.0,Patrick Eaves,25.0,RW,65,12,10,22,0,26,11,0,1,1,10.0,0.0,0.0,120,10.0,874.0,13:26,1.2,1.1,2.3,43,125,4,10,28.6
10,11.0,Kris Draper,38.0,C,81,7,15,22,-2,28,6,1,0,0,14.0,0.0,1.0,98,7.1,935.0,11:32,0.5,1.1,1.5,19,99,166,153,52.0
11,12.0,Niklas Kronwall,29.0,D,48,7,15,22,5,32,4,3,0,0,6.0,5.0,4.0,68,10.3,1052.0,21:55,1.9,3.0,4.9,62,86,0,0,
12,13.0,Johan Franzén,30.0,C,27,10,11,21,1,22,4,6,0,1,6.0,5.0,0.0,91,11.0,505.0,18:42,1.9,0.7,2.6,12,46,15,12,55.6
13,14.0,Brad Stuart,30.0,D,82,4,16,20,-12,22,3,1,0,2,14.0,2.0,0.0,153,2.6,1900.0,23:10,0.3,3.6,4.0,131,205,1,1,50.0
14,15.0,Drew Miller,25.0,LW,66,10,9,19,5,10,8,1,1,3,6.0,3.0,0.0,93,10.8,839.0,12:42,0.7,1.3,2.0,46,97,13,27,32.5
15,16.0,Jason Williams,29.0,C,44,6,9,15,-7,8,3,3,0,1,6.0,3.0,0.0,96,6.3,595.0,13:32,0.6,0.5,1.0,5,33,30,30,50.0
16,17.0,Jonathan Ericsson,25.0,D,62,4,9,13,-15,44,3,0,1,1,9.0,0.0,0.0,55,7.3,1036.0,16:42,0.6,1.3,1.9,47,93,0,0,
17,18.0,Brett Lebda,28.0,D,63,1,7,8,-2,24,1,0,0,0,6.0,1.0,0.0,61,1.6,944.0,14:59,-0.2,2.1,2.0,39,39,0,0,
18,19.0,Ville Leino,26.0,LW,42,4,3,7,-10,6,3,1,0,1,2.0,1.0,0.0,54,7.4,555.0,13:13,-0.4,0.3,-0.1,14,12,1,4,20.0
19,20.0,Kirk Maltby,37.0,LW,52,4,2,6,1,32,3,0,1,0,2.0,0.0,0.0,43,9.3,526.0,10:06,-0.4,0.7,0.3,25,82,7,6,53.8
20,21.0,Justin Abdelkader,22.0,LW,50,3,3,6,-11,35,3,0,0,0,3.0,0.0,0.0,79,3.8,530.0,10:35,-0.6,0.2,-0.3,20,152,148,170,46.5
21,22.0,Derek Meech,25.0,D,49,2,4,6,-12,19,1,1,0,2,4.0,0.0,0.0,57,3.5,584.0,11:55,0.2,0.4,0.6,25,36,0,0,
22,23.0,Andreas Lilja,34.0,D,20,1,1,2,-2,4,1,0,0,0,1.0,0.0,0.0,19,5.3,283.0,14:08,0.0,0.5,0.5,21,38,0,0,
23,24.0,Jimmy Howard,25.0,G,63,0,2,2,0,2,0,0,0,0,,,,0,,3740.0,59:22,0.0,0.0,13.8,0,0,0,0,
24,25.0,Doug Janik,29.0,D,13,0,2,2,-3,18,0,0,0,0,2.0,0.0,0.0,5,0.0,175.0,13:28,0.0,0.2,0.2,15,4,0,0,
25,26.0,Kris Newbury,27.0,C,4,1,0,1,1,4,1,0,0,0,0.0,0.0,0.0,3,33.3,35.0,8:41,0.1,0.1,0.2,2,10,7,11,38.9
26,27.0,Brad May,38.0,LW,40,0,1,1,-5,66,0,0,0,0,1.0,0.0,0.0,26,0.0,279.0,6:58,-0.7,0.1,-0.6,4,58,0,1,0.0
27,28.0,Chris Osgood,37.0,G,23,0,1,1,0,0,0,0,0,0,,,,0,,1252.0,54:26,0.0,0.0,1.8,0,0,0,0,
28,29.0,Jakub Kindl,22.0,D,3,0,0,0,-2,0,0,0,0,0,0.0,0.0,0.0,1,0.0,32.0,10:50,0.0,-0.1,-0.1,0,0,0,0,
29,30.0,Mattias Ritola,22.0,C,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9,0.0,58.0,11:42,-0.2,0.1,-0.1,2,7,0,3,0.0
