,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Gordie Howe,23.0,RW,70,47,39,86,,78,41.0,5.0,1.0,10.0,20,19.0,0.0,,,,,11.6,1.5,13.1
1,2.0,Ted Lindsay,26.0,LW,70,30,39,69,,123,20.0,9.0,1.0,3.0,30,9.0,0.0,,,,,7.7,1.5,9.3
2,3.0,Sid Abel,33.0,C,62,17,36,53,,32,9.0,8.0,0.0,2.0,24,12.0,0.0,,,,,4.8,1.4,6.2
3,4.0,Red Kelly,24.0,D,67,16,31,47,,16,12.0,2.0,2.0,3.0,19,10.0,2.0,,,,,5.9,5.9,11.8
4,5.0,Metro Prystai,24.0,C,69,21,22,43,,16,15.0,6.0,0.0,4.0,20,2.0,0.0,,,,,3.8,1.5,5.3
5,6.0,Alex Delvecchio,19.0,C,65,15,22,37,,22,14.0,1.0,0.0,6.0,16,6.0,0.0,,,,,2.6,1.4,4.1
6,7.0,Marty Pavelich,24.0,LW,68,17,19,36,,54,15.0,2.0,0.0,5.0,17,2.0,0.0,,,,,2.6,1.5,4.1
7,8.0,Glen Skov,21.0,C,70,12,14,26,,46,5.0,7.0,0.0,4.0,11,3.0,0.0,,,,,0.8,1.5,2.3
8,9.0,Tony Leswick,28.0,RW,70,9,10,19,,93,9.0,0.0,0.0,1.0,9,1.0,0.0,,,,,-0.3,1.5,1.2
9,10.0,Fred Glover,24.0,LW,54,9,9,18,,25,4.0,5.0,0.0,1.0,5,4.0,0.0,,,,,0.4,1.2,1.5
10,11.0,Marcel Pronovost,21.0,D,69,7,11,18,,50,6.0,1.0,0.0,1.0,8,3.0,0.0,,,,,1.5,6.1,7.6
11,12.0,Vic Stasiuk,22.0,RW,58,5,9,14,,19,4.0,1.0,0.0,2.0,8,1.0,0.0,,,,,-0.8,1.3,0.5
12,13.0,Bob Goldham,29.0,D,69,0,14,14,,24,0.0,0.0,0.0,0.0,11,3.0,0.0,,,,,0.3,6.1,6.4
13,14.0,Benny Woit,24.0,D,58,3,8,11,,20,3.0,0.0,0.0,0.0,7,1.0,0.0,,,,,0.5,5.1,5.6
14,15.0,Leo Reise,29.0,D,54,0,11,11,,34,0.0,0.0,0.0,0.0,11,0.0,0.0,,,,,0.2,4.8,5.0
15,16.0,Johnny Wilson,22.0,LW,28,4,5,9,,18,4.0,0.0,0.0,1.0,3,2.0,0.0,,,,,0.1,0.6,0.7
16,17.0,Enio Sclisizzi,26.0,LW,9,2,1,3,,0,2.0,0.0,0.0,1.0,1,0.0,0.0,,,,,0.1,0.2,0.3
17,18.0,Larry Zeidel,23.0,D,19,1,0,1,,14,1.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,1.7,1.5
18,19.0,Bill Folk,24.0,D,4,0,0,0,,2,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.4,0.3
19,20.0,Terry Sawchuk,22.0,G,70,0,0,0,,2,,,,,0,,,,,4200.0,60:00,0.0,0.0,16.6
20,21.0,Larry Wilson,21.0,C,5,0,0,0,,4,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.3,0.1,-0.1
