,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Steve Yzerman,26.0,C,79,45,58,103,26,64,28,9,8,9,38.0,18.0,2.0,295,15.3,,,8.7,1.4,10.1
1,2.0,Sergei Fedorov,22.0,C,80,32,54,86,26,72,23,7,2,5,31.0,20.0,3.0,249,12.9,,,6.3,1.4,7.7
2,3.0,Paul Ysebaert,25.0,LW,79,35,40,75,44,55,28,3,4,3,24.0,14.0,2.0,211,16.6,,,5.7,1.9,7.6
3,4.0,Jimmy Carson,23.0,C,80,34,35,69,17,30,23,11,0,3,24.0,11.0,0.0,150,22.7,,,5.1,1.2,6.3
4,5.0,Ray Sheppard,25.0,RW,74,36,26,62,7,27,24,11,1,4,20.0,6.0,0.0,178,20.2,,,4.9,0.8,5.8
5,6.0,Nicklas Lidström,21.0,D,80,11,49,60,36,22,6,5,0,1,22.0,26.0,1.0,168,6.5,,,4.0,5.5,9.5
6,7.0,Shawn Burr,25.0,LW,79,19,32,51,26,118,17,2,0,3,29.0,0.0,3.0,140,13.6,,,2.5,1.4,3.9
7,8.0,Kevin Miller,26.0,RW,80,20,26,46,6,53,16,3,1,4,20.0,4.0,2.0,130,15.4,,,2.2,0.8,3.0
8,9.0,Bob Probert,26.0,RW,63,20,24,44,16,276,12,8,0,1,19.0,5.0,0.0,96,20.8,,,2.7,1.0,3.7
9,10.0,Gerard Gallant,28.0,LW,69,14,22,36,16,187,10,4,0,1,21.0,1.0,0.0,116,12.1,,,1.3,1.0,2.4
10,11.0,Steve Chiasson,24.0,D,62,10,24,34,22,136,5,5,0,2,9.0,14.0,1.0,143,7.0,,,2.2,3.9,6.1
11,12.0,Vladimir Konstantinov,24.0,D,79,8,26,34,25,172,7,1,0,2,23.0,1.0,2.0,108,7.4,,,1.7,4.8,6.5
12,13.0,Brad McCrimmon,32.0,D,79,7,22,29,39,118,4,2,1,1,14.0,7.0,1.0,94,7.4,,,1.2,5.6,6.9
13,14.0,Yves Racine,22.0,D,61,2,22,24,-6,94,1,1,0,0,12.0,8.0,2.0,103,1.9,,,0.8,2.2,3.0
14,15.0,Keith Primeau,20.0,C,35,6,10,16,9,83,6,0,0,0,10.0,0.0,0.0,27,22.2,,,0.4,0.6,1.0
15,16.0,Brent Fedyk,24.0,LW,61,5,8,13,-5,42,5,0,0,1,8.0,0.0,0.0,60,8.3,,,-0.9,0.4,-0.5
16,17.0,Sheldon Kennedy,22.0,RW,27,3,8,11,-2,24,3,0,0,1,8.0,0.0,0.0,33,9.1,,,0.1,0.2,0.2
17,18.0,Alan Kerr,27.0,RW,58,3,8,11,1,133,3,0,0,1,8.0,0.0,0.0,41,7.3,,,-1.1,0.5,-0.6
18,19.0,Doug Crossman,31.0,D,26,0,8,8,8,14,0,0,0,0,7.0,1.0,0.0,21,0.0,,,0.1,1.6,1.7
19,20.0,Brad Marsh,33.0,D,55,3,4,7,8,53,3,0,0,1,4.0,0.0,0.0,29,10.3,,,-0.3,2.8,2.5
20,21.0,Brian MacLellan,33.0,LW,23,1,5,6,4,38,1,0,0,0,5.0,0.0,0.0,17,5.9,,,-0.3,0.3,0.0
21,22.0,Bobby Dollas,27.0,D,27,3,1,4,4,20,2,0,1,0,1.0,0.0,0.0,26,11.5,,,0.0,1.4,1.4
22,23.0,Tim Cheveldae,23.0,G,72,0,4,4,0,6,0,0,0,0,,,,0,,4236.0,58:50,0.0,0.0,10.2
23,24.0,Johan Garpenlöv,23.0,LW,16,1,1,2,2,4,1,0,0,0,1.0,0.0,0.0,13,7.7,,,-0.4,0.2,-0.2
24,25.0,Vyacheslav Kozlov,19.0,C,7,0,2,2,-2,2,0,0,0,0,2.0,0.0,0.0,9,0.0,,,-0.1,0.0,-0.1
25,26.0,Marc Potvin,25.0,RW,5,1,0,1,-2,52,1,0,0,0,0.0,0.0,0.0,4,25.0,,,0.0,0.0,-0.1
26,27.0,Dennis Vial,22.0,D,27,1,0,1,1,72,1,0,0,0,0.0,0.0,0.0,6,16.7,,,-0.4,1.2,0.8
27,28.0,Martin Lapointe,18.0,RW,4,0,1,1,2,5,0,0,0,0,1.0,0.0,0.0,2,0.0,,,-0.1,0.1,0.0
28,29.0,Allan Bester,27.0,G,1,0,0,0,0,0,0,0,0,0,,,,0,,31.0,30:33,0.0,0.0,0.0
29,30.0,Troy Crowder,23.0,RW,7,0,0,0,0,35,0,0,0,0,0.0,0.0,0.0,2,0.0,,,-0.3,0.1,-0.2
30,31.0,Jim Cummins,21.0,RW,1,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0,,,,0.0,0.0,0.0
31,32.0,Scott King,24.0,G,1,0,0,0,0,0,0,0,0,0,,,,0,,16.0,16:26,0.0,0.0,0.0
32,33.0,Bob McGill,29.0,D,12,0,0,0,-3,21,0,0,0,0,0.0,0.0,0.0,6,0.0,,,-0.2,0.3,0.1
33,34.0,Greg Millen,34.0,G,10,0,0,0,0,0,0,0,0,0,,,,0,,487.0,48:44,0.0,0.0,1.3
34,35.0,Vincent Riendeau,25.0,G,2,0,0,0,0,0,0,0,0,0,,,,0,,87.0,43:35,0.0,0.0,0.3
35,36.0,Chris Tancill,23.0,C,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,0.0,0.0,0.0
36,37.0,Rick Zombo,28.0,D,3,0,0,0,-3,15,0,0,0,0,0.0,0.0,0.0,1,0.0,,,-0.1,0.0,-0.1
