,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Gordie Howe,28.0,RW,70,44,45,89,,74,29.0,15.0,0.0,6.0,28,16.0,1.0,,,,,10.5,1.3,11.8
1,2.0,Ted Lindsay,31.0,LW,70,30,55,85,,103,23.0,6.0,1.0,4.0,36,19.0,0.0,,,,,8.6,1.3,10.0
2,3.0,Norm Ullman,21.0,C,64,16,36,52,,47,10.0,6.0,0.0,0.0,25,11.0,0.0,,,,,4.1,1.2,5.3
3,4.0,Alex Delvecchio,24.0,C,48,16,25,41,,8,10.0,6.0,0.0,4.0,16,9.0,0.0,,,,,3.7,0.9,4.6
4,5.0,Dutch Reibel,26.0,C,70,13,23,36,,6,8.0,5.0,0.0,4.0,16,7.0,0.0,,,,,1.8,1.3,3.2
5,6.0,Red Kelly,29.0,D,70,10,25,35,,18,4.0,6.0,0.0,1.0,14,11.0,0.0,,,,,3.3,5.3,8.7
6,7.0,Billy Dea,23.0,RW,69,15,15,30,,14,14.0,1.0,0.0,3.0,12,3.0,0.0,,,,,1.5,1.3,2.8
7,8.0,Lorne Ferguson,26.0,LW,70,13,10,23,,26,10.0,1.0,2.0,5.0,7,3.0,0.0,,,,,0.5,1.3,1.8
8,9.0,Metro Prystai,29.0,C,70,7,15,22,,16,6.0,1.0,0.0,4.0,12,1.0,2.0,,,,,-0.2,1.3,1.1
9,10.0,John Bucyk,21.0,LW,66,10,11,21,,39,9.0,1.0,0.0,3.0,11,0.0,0.0,,,,,0.1,1.3,1.4
10,11.0,Marcel Pronovost,26.0,D,70,7,9,16,,36,7.0,0.0,0.0,1.0,7,2.0,0.0,,,,,1.1,5.3,6.4
11,12.0,Marty Pavelich,29.0,LW,63,3,13,16,,48,2.0,0.0,1.0,1.0,13,0.0,0.0,,,,,-1.0,1.2,0.2
12,13.0,Billy McNeill,21.0,RW,64,5,10,15,,24,5.0,0.0,0.0,1.0,10,0.0,0.0,,,,,-0.9,1.2,0.3
13,14.0,Bill Dineen,24.0,RW,51,6,7,13,,12,6.0,0.0,0.0,1.0,6,1.0,0.0,,,,,-0.4,1.0,0.6
14,15.0,Warren Godfrey,25.0,D,69,1,8,9,,103,1.0,0.0,0.0,0.0,7,1.0,0.0,,,,,-0.3,5.3,5.0
15,16.0,Al Arbour,24.0,D,44,1,6,7,,36,1.0,0.0,0.0,0.0,6,0.0,0.0,,,,,0.0,3.4,3.4
16,17.0,Larry Hillman,19.0,D,16,1,2,3,,2,1.0,0.0,0.0,0.0,1,1.0,0.0,,,,,0.1,1.2,1.3
17,18.0,Gord Hollingworth,23.0,D,25,0,1,1,,16,0.0,0.0,0.0,0.0,1,0.0,0.0,,,,,-0.4,1.9,1.5
18,19.0,Dale Anderson,24.0,D,13,0,0,0,,6,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.2,1.0,0.7
19,20.0,Murray Costello,22.0,C,3,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.1,-0.1
20,21.0,Glenn Hall,25.0,G,70,0,0,0,,2,,,,,0,,,,,4198.0,59:58,0.0,0.0,14.8
21,22.0,Tom McCarthy,22.0,LW,3,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.1,-0.1
22,23.0,Gord Strate,21.0,D,5,0,0,0,,4,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.4,0.3
