,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Steve Yzerman,34.0,C,78,35,44,79,28,34,18,15,2,6,28.0,14.0,2.0,234,15.0,1647.0,21:07,7.3,2.5,9.8
1,2.0,Brendan Shanahan,31.0,LW,78,41,37,78,24,105,27,13,1,9,19.0,16.0,2.0,283,14.5,1449.0,18:35,8.3,2.2,10.5
2,3.0,Nicklas Lidström,29.0,D,81,20,53,73,19,18,7,9,4,3,30.0,22.0,1.0,218,9.2,2328.0,28:45,7.1,5.8,13.0
3,4.0,Sergei Fedorov,30.0,C,68,27,35,62,8,22,19,4,4,7,19.0,15.0,1.0,263,10.3,1366.0,20:05,5.5,1.5,6.9
4,5.0,Pat Verbeek,35.0,RW,68,22,26,48,22,95,15,7,0,5,20.0,6.0,0.0,138,15.9,1092.0,16:04,4.2,1.8,6.0
5,6.0,Igor Larionov,39.0,C,79,9,38,47,13,28,6,3,0,4,26.0,12.0,0.0,69,13.0,1270.0,16:05,2.3,1.6,3.9
6,7.0,Martin Lapointe,26.0,RW,82,16,25,41,17,121,14,1,1,2,17.0,8.0,0.0,127,12.6,1207.0,14:43,2.6,1.7,4.3
7,8.0,Steve Duchesne,34.0,D,79,10,31,41,12,42,9,1,0,1,17.0,14.0,0.0,154,6.5,1677.0,21:14,3.5,4.1,7.6
8,9.0,Larry Murphy,38.0,D,81,10,30,40,4,45,3,7,0,0,21.0,9.0,0.0,146,6.8,1769.0,21:50,3.3,3.6,6.9
9,10.0,Vyacheslav Kozlov,27.0,LW,72,18,18,36,11,28,14,4,0,3,14.0,4.0,0.0,165,10.9,1116.0,15:30,2.5,1.4,3.9
10,11.0,Tomas Holmström,27.0,LW,72,13,22,35,4,43,9,4,0,1,16.0,6.0,0.0,71,18.3,871.0,12:06,2.6,0.9,3.5
11,12.0,Chris Chelios,38.0,D,81,3,31,34,48,103,3,0,0,0,25.0,4.0,2.0,135,2.2,2047.0,25:16,1.6,7.6,9.2
12,13.0,Doug Brown,35.0,RW,51,10,8,18,8,12,9,0,1,0,7.0,0.0,1.0,67,14.9,657.0,12:53,1.1,0.9,2.0
13,14.0,Mathieu Dandenault,23.0,D,81,6,12,18,-12,20,6,0,0,0,11.0,0.0,1.0,98,6.1,986.0,12:10,1.4,0.9,2.3
14,15.0,Stacy Roest,25.0,C,49,7,9,16,-1,12,6,1,0,1,9.0,0.0,0.0,56,12.5,487.0,9:56,1.0,0.4,1.4
15,16.0,Kirk Maltby,27.0,RW,41,6,8,14,1,24,4,0,2,1,8.0,0.0,0.0,71,8.5,554.0,13:30,0.5,0.5,1.1
16,17.0,Darren McCarty,27.0,RW,24,6,6,12,1,48,6,0,0,1,6.0,0.0,0.0,40,15.0,328.0,13:40,1.0,0.3,1.3
17,18.0,Kris Draper,28.0,C,51,5,7,12,3,28,5,0,0,3,7.0,0.0,0.0,76,6.6,691.0,13:33,-0.1,0.7,0.6
18,19.0,Yuri Butsayev,21.0,C,57,5,3,8,-6,12,5,0,0,0,3.0,0.0,0.0,46,10.9,547.0,9:36,-0.2,0.2,0.1
19,20.0,Jiri Fischer,19.0,D,52,0,8,8,1,45,0,0,0,0,8.0,0.0,0.0,41,0.0,564.0,10:51,0.2,1.1,1.4
20,21.0,Brent Gilchrist,32.0,LW,24,4,2,6,1,24,4,0,0,0,2.0,0.0,0.0,33,12.1,272.0,11:19,0.3,0.3,0.6
21,22.0,Darryl Laplante,22.0,C,30,0,6,6,-2,10,0,0,0,0,6.0,0.0,0.0,19,0.0,287.0,9:35,-0.2,0.2,0.0
22,23.0,Aaron Ward,27.0,D,36,1,3,4,-4,24,1,0,0,0,3.0,0.0,0.0,25,4.0,453.0,12:36,0.0,0.5,0.6
23,24.0,Yan Golubovsky,23.0,D,21,1,2,3,3,8,1,0,0,0,2.0,0.0,0.0,7,14.3,187.0,8:54,0.2,0.6,0.8
24,25.0,Todd Gill,34.0,D,13,2,0,2,2,15,2,0,0,1,0.0,0.0,0.0,20,10.0,202.0,15:31,0.2,0.5,0.7
25,26.0,Marc Rodgers,27.0,RW,21,1,1,2,-3,10,1,0,0,0,1.0,0.0,0.0,17,5.9,166.0,7:55,-0.1,0.0,-0.1
26,27.0,Chris Osgood,27.0,G,53,0,1,1,0,18,0,0,0,0,,,,0,,3148.0,59:23,0.0,0.0,8.5
27,28.0,Ken Wregget,35.0,G,29,0,1,1,0,0,0,0,0,0,,,,0,,1579.0,54:26,0.0,0.0,3.9
28,29.0,Manny Legace,26.0,G,4,0,0,0,0,0,0,0,0,0,,,,0,,240.0,59:54,0.0,0.0,0.7
29,30.0,Jesse Wallin,21.0,D,1,0,0,0,-2,0,0,0,0,0,0.0,0.0,0.0,0,,19.0,19:22,0.0,-0.1,-0.1
30,31.0,B.J. Young,22.0,RW,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,1.0,1:04,0.0,0.0,0.0
