,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,John Ogrodnick,25.0,LW,79,55,50,105,-5,30,39.0,15.0,1.0,6,30,17.0,3.0,301,18.3,,,8.2,0.8,9.0
1,2.0,Ron Duguay,27.0,RW,80,38,51,89,-21,51,25.0,10.0,3.0,4,39,11.0,1.0,201,18.9,,,5.9,0.4,6.3
2,3.0,Steve Yzerman,19.0,C,80,30,59,89,-17,58,21.0,9.0,0.0,3,35,24.0,0.0,231,13.0,,,5.3,0.5,5.8
3,4.0,Reed Larson,28.0,D,77,17,45,62,6,139,10.0,7.0,0.0,0,28,15.0,2.0,234,7.3,,,4.0,3.6,7.6
4,5.0,Kelly Kisio,25.0,C,75,20,41,61,-1,56,15.0,5.0,0.0,0,31,10.0,0.0,126,15.9,,,2.8,0.9,3.7
5,6.0,Danny Gare,30.0,RW,71,27,29,56,5,163,24.0,3.0,0.0,3,24,5.0,0.0,167,16.2,,,3.1,1.0,4.1
6,7.0,Ivan Boldirev,35.0,LW,75,19,30,49,-25,16,8.0,11.0,0.0,3,17,13.0,0.0,106,17.9,,,1.9,0.2,2.1
7,8.0,Brad Park,36.0,D,67,13,30,43,-17,53,7.0,6.0,0.0,0,19,11.0,0.0,94,13.8,,,2.6,2.0,4.6
8,9.0,Dwight Foster,27.0,C,50,16,16,32,13,56,13.0,0.0,3.0,0,15,0.0,1.0,68,23.5,,,1.4,0.9,2.4
9,10.0,Bob Manno,28.0,LW,74,10,22,32,2,32,7.0,0.0,3.0,1,18,2.0,2.0,61,16.4,,,0.1,0.9,1.0
10,11.0,Randy Ladouceur,24.0,D,80,3,27,30,3,108,2.0,1.0,0.0,1,15,11.0,1.0,83,3.6,,,0.7,3.6,4.3
11,12.0,Darryl Sittler,34.0,C,61,11,16,27,-7,37,7.0,4.0,0.0,2,14,2.0,0.0,115,9.6,,,0.3,0.5,0.8
12,13.0,Lane Lambert,20.0,RW,69,14,11,25,-4,104,14.0,0.0,0.0,1,11,0.0,0.0,67,20.9,,,0.1,0.7,0.8
13,14.0,John Barrett,26.0,D,71,6,19,25,-17,117,6.0,0.0,0.0,1,19,0.0,0.0,73,8.2,,,0.8,2.1,2.9
14,15.0,Greg Smith,29.0,D,73,2,18,20,-27,117,2.0,0.0,0.0,0,14,2.0,2.0,54,3.7,,,0.1,1.7,1.8
15,16.0,Gerard Gallant,21.0,LW,32,6,12,18,10,66,6.0,0.0,0.0,2,12,0.0,0.0,44,13.6,,,0.5,0.6,1.1
16,17.0,Tiger Williams,30.0,LW,55,3,8,11,-15,163,3.0,0.0,0.0,0,6,0.0,2.0,34,8.8,,,-1.1,0.3,-0.9
17,18.0,Larry Trader,21.0,D,40,3,7,10,12,39,2.0,1.0,0.0,0,5,2.0,0.0,47,6.4,,,0.1,2.3,2.4
18,19.0,Claude Loiselle,21.0,RW,30,8,1,9,-3,45,8.0,0.0,0.0,0,1,0.0,0.0,30,26.7,,,0.0,0.3,0.3
19,20.0,Frantisek Cernik,31.0,LW,49,5,4,9,-7,13,5.0,0.0,0.0,0,4,0.0,0.0,50,10.0,,,-0.9,0.4,-0.5
20,21.0,Colin Campbell,32.0,D,57,1,5,6,-16,124,1.0,0.0,0.0,0,5,0.0,0.0,35,2.9,,,-0.7,1.6,0.9
21,22.0,Milan Chalupa,31.0,D,14,0,5,5,5,6,0.0,0.0,0.0,0,5,0.0,0.0,10,0.0,,,0.1,0.9,0.9
22,23.0,Pierre Aubry,24.0,LW,25,2,2,4,-1,33,2.0,0.0,0.0,0,2,0.0,0.0,21,9.5,,,-0.5,0.3,-0.3
23,24.0,Corrado Micalef,23.0,G,36,0,3,3,0,6,,,,0,3,,,0,,1847.0,51:19,0.0,0.0,4.4
24,25.0,Dave Silk,27.0,RW,12,2,0,2,-5,10,2.0,0.0,0.0,0,0,0.0,0.0,7,28.6,,,-0.2,0.0,-0.2
25,26.0,Greg Stefan,23.0,G,46,0,2,2,0,23,,,,0,2,,,0,,2628.0,57:08,0.0,0.0,5.9
26,27.0,Joe Kocur,20.0,RW,17,1,0,1,-5,64,1.0,0.0,0.0,0,0,0.0,0.0,7,14.3,,,-0.5,0.1,-0.5
27,28.0,Brad Smith,26.0,RW,1,1,0,1,0,5,1.0,0.0,0.0,0,0,0.0,0.0,4,25.0,,,0.1,0.0,0.1
28,29.0,Shawn Burr,18.0,LW,9,0,0,0,-4,2,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,,,-0.3,0.0,-0.3
29,30.0,Eddie Mio,31.0,G,7,0,0,0,0,2,,,,0,0,,,0,,375.0,53:34,0.0,0.0,0.5
30,31.0,Rick Zombo,21.0,D,1,0,0,0,-3,0,0.0,0.0,0.0,0,0,0.0,0.0,0,,,,0.0,-0.1,-0.1
