,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Dylan Larkin,23.0,C,71,19,34,53,-21,39,14,5,0,0,25,9,0,223,8.5,1509.0,21:15,2.9,1.5,4.5,45,52,715,647,52.5
1,2.0,Tyler Bertuzzi,24.0,LW,71,21,27,48,-23,40,18,3,0,1,16,11,0,129,16.3,1371.0,19:19,3.0,1.3,4.3,30,71,4,2,66.7
2,3.0,Anthony Mantha,25.0,RW,43,16,22,38,-7,34,10,6,0,3,19,3,0,137,11.7,812.0,18:54,3.1,1.0,4.1,25,49,16,22,42.1
3,4.0,Robby Fabbri,24.0,C,52,14,17,31,-29,18,8,6,0,3,14,3,0,104,13.5,898.0,17:16,2.0,0.3,2.3,13,63,26,40,39.4
4,5.0,Filip Hronek,22.0,D,65,9,22,31,-38,46,8,1,0,0,13,9,0,125,7.2,1553.0,23:54,2.0,1.5,3.6,74,105,0,0,
5,6.0,Andreas Athanasiou,25.0,C,46,10,14,24,-45,26,7,3,0,2,10,4,0,115,8.7,761.0,16:32,1.3,-0.5,0.7,21,28,43,59,42.2
6,7.0,Valtteri Filppula,35.0,C,70,6,15,21,-42,24,4,1,1,0,11,4,0,63,9.5,1163.0,16:37,-0.6,0.2,-0.4,31,28,324,398,44.9
7,8.0,Madison Bowey,24.0,D,53,3,14,17,-16,34,3,0,0,0,13,1,0,70,4.3,949.0,17:54,0.8,1.5,2.3,58,53,0,0,
8,9.0,Darren Helm,33.0,C,68,9,7,16,-6,37,8,0,1,0,6,0,1,102,8.8,934.0,13:44,-0.1,1.2,1.1,26,88,15,13,53.6
9,10.0,Filip Zadina,20.0,RW,28,8,7,15,-13,2,4,4,0,1,4,3,0,60,13.3,425.0,15:10,1.1,0.2,1.3,10,11,1,0,100.0
10,11.0,Mike Green,34.0,D,48,3,8,11,-32,32,2,1,0,1,5,3,0,74,4.1,1011.0,21:04,0.1,0.5,0.6,63,58,0,0,
11,12.0,Luke Glendening,30.0,C,60,6,3,9,-29,14,5,0,1,1,3,0,0,76,7.9,921.0,15:21,-1.1,0.3,-0.8,68,147,393,307,56.1
12,13.0,Frans Nielsen,35.0,C,60,4,5,9,-13,8,3,0,1,0,2,2,1,86,4.7,821.0,13:41,-1.0,0.8,-0.2,35,44,210,246,46.1
13,14.0,Patrik Nemeth,27.0,D,64,1,8,9,-10,28,1,0,0,1,7,0,1,89,1.1,1410.0,22:02,-0.8,3.3,2.5,92,80,0,0,
14,15.0,Dennis Cholowski,21.0,D,36,2,6,8,-26,6,1,1,0,1,2,4,0,51,3.9,692.0,19:13,0.1,0.0,0.1,35,15,0,0,
15,16.0,Taro Hirose,23.0,LW,26,2,5,7,-12,6,2,0,0,0,0,5,0,21,9.5,326.0,12:33,0.0,0.1,0.0,16,13,0,5,0.0
16,17.0,Trevor Daley,36.0,D,43,0,7,7,-22,20,0,0,0,0,5,2,0,37,0.0,673.0,15:39,-0.1,0.2,0.1,44,9,0,0,
17,18.0,Adam Erne,24.0,LW,56,2,3,5,-24,28,2,0,0,0,3,0,0,63,3.2,662.0,11:49,-1.2,0.1,-1.0,25,142,20,13,60.6
18,19.0,Christoffer Ehn,23.0,C,54,2,2,4,-21,2,2,0,0,0,2,0,0,36,5.6,562.0,10:25,-1.0,0.1,-0.9,18,59,96,130,42.5
19,20.0,Jacob de La Rose,24.0,LW,16,1,3,4,3,4,1,0,0,0,3,0,0,15,6.7,196.0,12:13,-0.1,0.4,0.4,9,32,55,76,42.0
20,21.0,Brendan Perlini,23.0,LW,39,1,3,4,-18,10,1,0,0,0,3,0,0,47,2.1,420.0,10:46,-0.7,0.0,-0.7,10,21,0,0,
21,22.0,Danny DeKeyser,29.0,D,8,0,4,4,0,4,0,0,0,0,4,0,0,12,0.0,176.0,22:04,0.2,0.5,0.7,18,6,0,0,
22,23.0,Givani Smith,21.0,RW,21,2,1,3,-2,9,2,0,0,0,1,0,0,22,9.1,203.0,9:41,-0.1,0.2,0.2,3,42,0,0,
23,24.0,Justin Abdelkader,32.0,LW,49,0,3,3,-14,25,0,0,0,0,3,0,0,40,0.0,565.0,11:32,-1.3,0.3,-0.9,26,103,38,31,55.1
24,25.0,Jonathan Bernier,31.0,G,46,0,3,3,0,4,0,0,0,0,3,0,0,0,,2566.0,55:47,0.0,0.0,7.2,0,0,0,0,
25,26.0,Alex Biega,31.0,D,49,0,3,3,-9,24,0,0,0,0,3,0,0,55,0.0,805.0,16:25,-0.7,1.6,0.9,46,115,0,0,
26,27.0,Joe Hicketts,23.0,D,6,0,2,2,-5,2,0,0,0,0,2,0,0,6,0.0,110.0,18:17,0.1,-0.1,0.0,13,14,0,0,
27,28.0,Sam Gagner,30.0,C,6,1,0,1,-1,2,0,1,0,0,0,0,0,10,10.0,90.0,15:05,-0.1,0.1,0.0,1,3,4,11,26.7
28,29.0,Brian Lashoff,29.0,D,9,0,1,1,1,6,0,0,0,0,1,0,0,6,0.0,131.0,14:33,-0.1,0.5,0.4,7,16,0,0,
29,30.0,Gustav Lindstrom,21.0,D,16,0,1,1,-6,14,0,0,0,0,0,1,0,9,0.0,265.0,16:32,-0.2,0.3,0.1,15,19,0,0,
30,31.0,Eric Comrie,24.0,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,126.0,42:05,0.0,0.0,0.0,0,0,0,0,
31,32.0,Jonathan Ericsson,35.0,D,18,0,0,0,-12,4,0,0,0,0,0,0,0,16,0.0,256.0,14:15,-0.3,-0.2,-0.5,14,24,0,0,
32,33.0,Cody Goloubef,30.0,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,30.0,15:11,0.0,0.0,0.0,0,5,0,0,
33,34.0,Jimmy Howard,35.0,G,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,1372.0,50:48,0.0,0.0,2.2,0,0,0,0,
34,35.0,Dylan McIlrath,27.0,D,16,0,0,0,-4,23,0,0,0,0,0,0,0,14,0.0,237.0,14:49,-0.3,0.4,0.1,12,48,0,0,
35,36.0,Calvin Pickard,27.0,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,165.0,54:58,0.0,0.0,-0.5,0,0,0,0,
