,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Brendan Shanahan,32.0,LW,81,31,45,76,9,81,15,15,1,7,24.0,21.0,0.0,278,11.2,1488.0,18:22,6.9,2.0,8.9
1,2.0,Nicklas Lidström,30.0,D,82,15,56,71,9,18,7,8,0,0,20.0,35.0,1.0,272,5.5,2333.0,28:27,6.4,5.8,12.2
2,3.0,Sergei Fedorov,31.0,C,75,32,37,69,12,40,16,14,2,7,13.0,23.0,1.0,268,11.9,1581.0,21:05,6.0,2.3,8.2
3,4.0,Martin Lapointe,27.0,RW,82,27,30,57,3,127,14,13,0,8,19.0,10.0,1.0,181,14.9,1320.0,16:06,5.0,1.6,6.6
4,5.0,Steve Yzerman,35.0,C,54,18,34,52,4,18,13,5,0,7,18.0,15.0,1.0,155,11.6,1201.0,22:14,3.9,1.5,5.4
5,6.0,Tomas Holmström,28.0,LW,73,16,24,40,-12,40,7,9,0,2,14.0,10.0,0.0,74,21.6,852.0,11:41,3.4,0.5,3.9
6,7.0,Vyacheslav Kozlov,28.0,LW,72,20,18,38,9,30,16,4,0,5,13.0,5.0,0.0,187,10.7,1060.0,14:43,3.0,1.5,4.6
7,8.0,Pat Verbeek,36.0,RW,67,15,15,30,0,73,8,7,0,0,10.0,5.0,0.0,113,13.3,905.0,13:31,2.1,1.0,3.1
8,9.0,Igor Larionov,40.0,C,39,4,25,29,6,28,2,2,0,1,16.0,9.0,0.0,31,12.9,647.0,16:36,1.6,1.0,2.6
9,10.0,Mathieu Dandenault,24.0,D,73,10,15,25,11,38,8,2,0,2,13.0,2.0,0.0,95,10.5,1175.0,16:06,2.4,3.4,5.8
10,11.0,Kris Draper,29.0,C,75,8,17,25,17,38,7,0,1,1,15.0,0.0,2.0,123,6.5,1008.0,13:26,0.6,1.8,2.4
11,12.0,Steve Duchesne,35.0,D,54,6,19,25,9,48,4,2,0,0,9.0,10.0,0.0,76,7.9,990.0,18:20,2.1,2.9,5.0
12,13.0,Darren McCarty,28.0,RW,72,12,10,22,-5,123,10,1,1,3,7.0,3.0,0.0,118,10.2,968.0,13:26,0.8,0.9,1.7
13,14.0,Doug Brown,36.0,C,60,9,13,22,0,14,6,2,1,1,10.0,3.0,0.0,91,9.9,674.0,11:14,1.3,0.8,2.1
14,15.0,Larry Murphy,39.0,D,57,2,19,21,-6,12,2,0,0,1,12.0,7.0,0.0,81,2.5,1083.0,19:00,1.2,1.9,3.1
15,16.0,Kirk Maltby,28.0,RW,79,12,7,19,16,22,8,1,3,3,5.0,1.0,1.0,119,10.1,1129.0,14:17,0.0,1.9,1.9
16,17.0,Boyd Devereaux,22.0,LW,55,5,6,11,1,14,5,0,0,0,6.0,0.0,0.0,66,7.6,557.0,10:08,0.1,0.7,0.8
17,18.0,Todd Gill,35.0,D,68,3,8,11,17,53,2,0,1,0,5.0,3.0,0.0,66,4.5,1265.0,18:36,0.1,4.1,4.2
18,19.0,Aaron Ward,28.0,D,73,4,5,9,-4,57,4,0,0,1,4.0,0.0,1.0,48,8.3,1241.0,17:00,0.0,2.4,2.4
19,20.0,Jiri Fischer,20.0,D,55,1,8,9,3,59,1,0,0,0,8.0,0.0,0.0,64,1.6,922.0,16:46,0.0,2.3,2.3
20,21.0,Brent Gilchrist,33.0,C,60,1,8,9,-8,41,1,0,0,0,8.0,0.0,0.0,75,1.3,701.0,11:41,-0.9,0.5,-0.4
21,22.0,Maxim Kuznetsov,23.0,D,25,1,2,3,-1,23,1,0,0,0,2.0,0.0,0.0,17,5.9,237.0,9:28,0.2,0.4,0.6
22,23.0,Chris Chelios,39.0,D,24,0,3,3,4,45,0,0,0,0,2.0,0.0,1.0,26,0.0,548.0,22:51,-0.3,1.5,1.2
23,24.0,Jason Williams,20.0,RW,5,0,3,3,1,2,0,0,0,0,3.0,0.0,0.0,7,0.0,62.0,12:24,0.1,0.1,0.2
24,25.0,Yuri Butsayev,22.0,C,15,1,1,2,-2,4,1,0,0,0,1.0,0.0,0.0,18,5.6,137.0,9:09,-0.1,0.1,0.0
25,26.0,Manny Legace,27.0,G,39,0,2,2,0,4,0,0,0,0,,,,0,,2141.0,54:54,0.0,0.0,7.2
26,27.0,Chris Osgood,28.0,G,52,0,0,0,0,8,0,0,0,0,,,,0,,2834.0,54:30,0.0,0.0,8.0
27,28.0,Jesse Wallin,22.0,D,1,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,1,0.0,4.0,3:50,0.0,0.0,0.0
