,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Larry Aurie,28.0,RW,48,16,19.0,35.0,,36.0,12.0,3.0,1.0,3.0,11.0,7.0,1.0,,,,,4.4,1.1,5.4
1,2.0,John Sorrell,28.0,LW,47,21,10.0,31.0,,8.0,11.0,10.0,0.0,3.0,8.0,2.0,0.0,,,,,4.6,1.0,5.6
2,3.0,Herbie Lewis,27.0,LW,43,16,15.0,31.0,,15.0,13.0,2.0,1.0,5.0,10.0,5.0,0.0,,,,,4.1,0.9,5.0
3,4.0,Cooney Weiland,29.0,C,40,11,19.0,30.0,,6.0,8.0,3.0,0.0,3.0,10.0,9.0,0.0,,,,,3.4,0.9,4.3
4,5.0,Ebbie Goodfellow,26.0,C,48,13,13.0,26.0,,45.0,7.0,6.0,0.0,0.0,8.0,4.0,1.0,,,,,2.8,1.1,3.8
5,6.0,Frank Carson,32.0,RW,47,10,9.0,19.0,,36.0,7.0,3.0,0.0,4.0,8.0,1.0,0.0,,,,,1.5,1.0,2.5
6,7.0,Gord Pettinger,22.0,LW,48,3,14.0,17.0,,14.0,3.0,0.0,0.0,1.0,11.0,3.0,0.0,,,,,0.2,1.1,1.3
7,8.0,Hap Emms,29.0,LW,45,7,7.0,14.0,,51.0,7.0,0.0,0.0,2.0,7.0,0.0,0.0,,,,,0.5,1.0,1.5
8,9.0,Eddie Wiseman,21.0,RW,48,5,9.0,14.0,,18.0,5.0,0.0,0.0,2.0,5.0,4.0,0.0,,,,,0.1,1.1,1.1
9,10.0,Doug Young,25.0,D,47,4,0.0,4.0,,36.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,,,21.0,0:27,0.1,4.1,4.3
10,11.0,Wilf Starr,24.0,LW,28,2,2.0,4.0,,17.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,-0.6,0.6,0.0
11,12.0,Walt Buswell,26.0,D,47,1,2.0,3.0,,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,-0.4,4.1,3.7
12,13.0,Ted Graham,28.0,D,28,1,1.0,2.0,,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,-0.3,2.5,2.2
13,14.0,Lloyd Gross,28.0,LW,12,1,1.0,2.0,,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,-0.2,0.3,0.0
14,15.0,Carl Voss,27.0,C,8,0,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,-0.1,0.2,0.0
15,16.0,Gus Marker,26.0,RW,7,1,0.0,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.1,0.2,0.1
16,17.0,Fred Robertson,22.0,D,20,1,0.0,1.0,,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.1,1.8,1.6
17,18.0,Burr Williams,24.0,D,4,0,1.0,1.0,,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.1,0.4,0.4
18,19.0,Stewart Evans,25.0,D,19,0,0.0,0.0,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.4,1.7,1.3
19,20.0,Yip Foster,26.0,D,6,0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.1,0.5,0.4
20,21.0,John Gallagher,25.0,D,1,0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.1,0.1
21,22.0,Ron Moffat,28.0,LW,5,0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.3,0.1,-0.1
22,23.0,John Ross Roach,33.0,G,18,0,0.0,0.0,,0.0,,,,,0.0,,,,,1030.0,57:13,0.0,0.0,2.1
23,24.0,Abbie Cox,29.0,G,2,0,,,,0.0,,,,,0.0,,,,,109.0,54:30,0.0,0.0,0.2
24,25.0,Wilf Cude,23.0,G,29,0,,,,0.0,,,,,0.0,,,,,1860.0,64:08,0.0,0.0,7.8
