,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Walt McKechnie,29.0,C,80,25,34,59,-24,50,19.0,3.0,3.0,1,22,10.0,2.0,189,13.2,,,3.7,0.8,4.5
1,2.0,Dennis Polonich,23.0,RW,79,18,28,46,-20,274,11.0,6.0,1.0,1,24,4.0,0.0,183,9.8,,,2.1,0.9,3.0
2,3.0,Dennis Hextall,33.0,C,78,14,32,46,-35,158,9.0,5.0,0.0,1,28,4.0,0.0,128,10.9,,,1.8,0.5,2.2
3,4.0,Nick Libett,31.0,LW,80,14,27,41,-25,25,10.0,3.0,1.0,0,19,7.0,1.0,208,6.7,,,1.3,0.8,2.1
4,5.0,Michel Bergeron,22.0,RW,74,21,12,33,-40,98,18.0,3.0,0.0,5,9,3.0,0.0,197,10.7,,,1.4,0.2,1.7
5,6.0,Bill Lochead,22.0,LW,61,16,14,30,-11,39,12.0,4.0,0.0,3,11,3.0,0.0,128,12.5,,,1.3,0.9,2.2
6,7.0,Dan Maloney,26.0,LW,34,13,13,26,3,64,9.0,3.0,1.0,0,9,4.0,0.0,107,12.1,,,1.8,0.8,2.6
7,8.0,Buster Harvey,26.0,RW,54,11,11,22,-13,18,6.0,2.0,3.0,1,8,2.0,1.0,105,10.5,,,0.5,0.7,1.2
8,9.0,J.P. LeBlanc,30.0,C,74,7,11,18,-16,40,7.0,0.0,0.0,2,10,0.0,1.0,79,8.9,,,-1.0,1.0,0.0
9,10.0,Jim Nahrgang,25.0,D,53,5,11,16,-12,34,1.0,3.0,1.0,1,8,3.0,0.0,96,5.2,,,0.6,2.4,3.0
10,11.0,Al Cameron,21.0,D,80,3,13,16,-43,112,2.0,1.0,0.0,0,8,5.0,0.0,139,2.2,,,-0.1,2.1,2.0
11,12.0,Rick Wilson,26.0,D,77,3,13,16,-20,56,3.0,0.0,0.0,0,13,0.0,0.0,60,5.0,,,0.0,3.3,3.3
12,13.0,Rick Lapointe,21.0,D,49,2,11,13,-17,80,1.0,1.0,0.0,0,9,2.0,0.0,59,3.4,,,0.2,1.9,2.1
13,14.0,Terry Harper,37.0,D,52,4,8,12,-23,28,3.0,1.0,0.0,0,8,0.0,0.0,60,6.7,,,0.2,1.7,1.9
14,15.0,Danny Grant,30.0,LW,42,2,10,12,-34,4,2.0,0.0,0.0,0,7,3.0,0.0,62,3.2,,,-0.6,-0.2,-0.8
15,16.0,Greg Joly,22.0,D,53,1,11,12,-22,14,0.0,1.0,0.0,0,1,10.0,0.0,72,1.4,,,0.0,1.8,1.8
16,17.0,Jean Hamel,24.0,D,71,1,10,11,-18,63,1.0,0.0,0.0,0,10,0.0,0.0,85,1.2,,,-0.5,3.1,2.6
17,18.0,Mike Bloom,24.0,LW,45,6,3,9,-10,22,6.0,0.0,0.0,0,3,0.0,0.0,40,15.0,,,-0.6,0.6,0.0
18,19.0,Bobby Sheehan,28.0,C,34,5,4,9,-10,2,5.0,0.0,0.0,0,4,0.0,0.0,45,11.1,,,-0.2,0.4,0.1
19,20.0,Bob Ritchie,21.0,LW,17,6,2,8,-13,10,5.0,1.0,0.0,0,2,0.0,0.0,33,18.2,,,0.5,-0.1,0.4
20,21.0,Fred Williams,20.0,C,44,2,5,7,-17,10,2.0,0.0,0.0,0,4,1.0,0.0,32,6.3,,,-1.1,0.3,-0.7
21,22.0,Terry Murray,26.0,D,23,0,7,7,-18,10,0.0,0.0,0.0,0,5,2.0,0.0,24,0.0,,,0.1,0.3,0.4
22,23.0,Dave Kelly,24.0,RW,16,2,0,2,-8,4,2.0,0.0,0.0,1,0,0.0,0.0,18,11.1,,,-0.3,0.1,-0.3
23,24.0,Steve Coates,26.0,RW,5,1,0,1,-1,24,1.0,0.0,0.0,0,0,0.0,0.0,5,20.0,,,0.0,0.1,0.0
24,25.0,Dwight Schofield,20.0,D,3,1,0,1,0,2,1.0,0.0,0.0,0,0,0.0,0.0,3,33.3,,,0.1,0.2,0.3
25,26.0,Ed Giacomin,37.0,G,33,0,1,1,0,4,,,,0,1,,,0,,1790.0,54:14,0.0,0.0,4.1
26,27.0,Reed Larson,20.0,D,14,0,1,1,-2,23,0.0,0.0,0.0,0,1,0.0,0.0,23,0.0,,,-0.2,0.7,0.5
27,28.0,Jim Rutherford,27.0,G,48,0,1,1,0,2,,,,0,1,,,0,,2736.0,57:00,0.0,0.0,4.9
28,29.0,Bryan Watson,34.0,D,14,0,1,1,2,39,0.0,0.0,0.0,0,1,0.0,0.0,4,0.0,,,-0.2,1.0,0.7
29,30.0,Fred Berry,20.0,C,3,0,0,0,-3,0,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,,,-0.1,0.0,-0.2
30,31.0,Larry Giroux,25.0,D,2,0,0,0,0,2,0.0,0.0,0.0,0,0,0.0,0.0,7,0.0,,,0.0,0.1,0.1
31,32.0,Fern LeBlanc,21.0,C,3,0,0,0,-3,0,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,,,-0.1,0.0,-0.2
32,33.0,Don Martineau,24.0,RW,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,,,,0.0,0.0,0.0
33,34.0,Brian McCutcheon,27.0,LW,12,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,,,-0.5,0.2,-0.3
34,35.0,Terry Richardson,23.0,G,5,0,0,0,0,2,,,,0,0,,,0,,269.0,53:45,0.0,0.0,0.5
35,36.0,Kevin Schamehorn,20.0,RW,3,0,0,0,-1,9,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,,,-0.1,0.0,-0.1
