,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Billy Taylor,27.0,C,60,17,46,63,,35,13.0,4.0,0.0,3.0,28,18.0,0.0,,,,,4.6,0.9,5.5
1,2.0,Roy Conacher,30.0,LW,60,30,24,54,,6,20.0,10.0,0.0,2.0,14,10.0,0.0,,,,,5.0,0.9,5.9
2,3.0,Sid Abel,28.0,C,60,19,29,48,,29,12.0,7.0,0.0,2.0,19,10.0,0.0,,,,,3.4,0.9,4.3
3,4.0,Ted Lindsay,21.0,LW,59,27,15,42,,57,21.0,5.0,1.0,4.0,12,3.0,0.0,,,,,3.6,0.9,4.5
4,5.0,Pat Lundy,22.0,C,59,17,17,34,,10,14.0,3.0,0.0,3.0,16,1.0,0.0,,,,,1.9,0.9,2.8
5,6.0,Jim Conacher,25.0,C,33,16,13,29,,2,15.0,1.0,0.0,0.0,9,4.0,0.0,,,,,2.6,0.5,3.1
6,7.0,Pete Horeck,23.0,LW,38,12,13,25,,59,8.0,4.0,0.0,1.0,13,0.0,0.0,,,,,1.6,0.6,2.2
7,8.0,Eddie Bruneteau,27.0,RW,60,9,14,23,,14,7.0,2.0,0.0,0.0,10,4.0,0.0,,,,,0.1,0.9,1.0
8,9.0,Gordie Howe,18.0,RW,58,7,15,22,,52,7.0,0.0,0.0,0.0,15,0.0,0.0,,,,,-0.1,0.9,0.8
9,10.0,Bill Quackenbush,24.0,D,44,5,17,22,,6,4.0,1.0,0.0,3.0,15,2.0,0.0,,,,,1.7,2.7,4.3
10,11.0,Gerry Couture,21.0,RW,30,5,10,15,,0,5.0,0.0,0.0,1.0,8,2.0,0.0,,,,,0.4,0.5,0.9
11,12.0,Jack Stewart,29.0,D,55,5,9,14,,83,5.0,0.0,0.0,0.0,8,1.0,0.0,,,,,0.7,3.4,4.0
12,13.0,Adam Brown,26.0,LW,22,8,5,13,,30,7.0,1.0,0.0,2.0,4,1.0,0.0,,,,,0.9,0.3,1.2
13,14.0,Fern Gauthier,27.0,RW,40,1,12,13,,2,1.0,0.0,0.0,0.0,10,2.0,0.0,,,,,-0.6,0.6,0.0
14,15.0,Leo Reise,24.0,D,31,4,6,10,,19,4.0,0.0,0.0,0.0,6,0.0,0.0,,,,,0.7,1.9,2.6
15,16.0,Doug McCaig,27.0,D,47,2,4,6,,62,2.0,0.0,0.0,0.0,4,0.0,0.0,,,,,-0.2,2.9,2.7
16,17.0,Harold Jackson,28.0,D,37,1,5,6,,39,1.0,0.0,0.0,0.0,5,0.0,0.0,,,,,-0.1,2.3,2.2
17,18.0,Lloyd Doran,26.0,C,24,3,2,5,,10,3.0,0.0,0.0,0.0,2,0.0,0.0,,,,,-0.4,0.4,0.0
18,19.0,Al Dewsbury,20.0,D,23,2,1,3,,12,1.0,1.0,0.0,1.0,1,0.0,0.0,,,,,0.0,1.4,1.4
19,20.0,Les Douglas,28.0,C,12,0,2,2,,2,0.0,0.0,0.0,0.0,2,0.0,0.0,,,,,-0.4,0.2,-0.2
20,21.0,Tony Licari,25.0,RW,9,0,1,1,,0,0.0,0.0,0.0,0.0,1,0.0,0.0,,,,,-0.3,0.1,-0.2
21,22.0,Cliff Simpson,23.0,C,6,0,1,1,,0,0.0,0.0,0.0,0.0,1,0.0,0.0,,,,,-0.2,0.1,-0.1
22,23.0,Red Almas,22.0,G,1,0,0,0,,0,,,,,0,,,,,60.0,60:00,0.0,0.0,0.0
23,24.0,Doug Baldwin,24.0,D,4,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.2,0.2
24,25.0,Harry Lumley,20.0,G,52,0,0,0,,4,,,,,0,,,,,3120.0,60:00,0.0,0.0,9.2
25,26.0,Calum MacKay,20.0,LW,5,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.2,0.1,-0.2
26,27.0,Hugh Millar,25.0,D,4,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.2,0.2
27,28.0,Johnny Mowers,30.0,G,7,0,0,0,,2,,,,,0,,,,,420.0,60:00,0.0,0.0,0.5
28,29.0,Thain Simon,24.0,D,3,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.2,0.1
29,30.0,Steve Wojciechowski,24.0,RW,5,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.2,0.1,-0.2
