,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Brendan Shanahan,33.0,LW,80,37,38,75,23,118,22,12,3,7,22.0,15.0,1.0,277,13.4,1513.0,18:55,7.8,2.5,10.3
1,2.0,Sergei Fedorov,32.0,C,81,31,37,68,20,36,21,10,0,6,24.0,11.0,2.0,256,12.1,1583.0,19:33,6.2,2.4,8.7
2,3.0,Brett Hull,37.0,RW,82,30,33,63,18,35,22,7,1,4,18.0,15.0,0.0,247,12.1,1543.0,18:49,5.7,2.3,8.0
3,4.0,Nicklas Lidström,31.0,D,78,9,50,59,13,20,3,6,0,0,26.0,24.0,0.0,215,4.2,2247.0,28:49,5.0,5.5,10.5
4,5.0,Luc Robitaille,35.0,LW,81,30,20,50,-2,38,17,13,0,5,12.0,8.0,0.0,190,15.8,1203.0,14:51,5.3,1.1,6.4
5,6.0,Steve Yzerman,36.0,C,52,13,35,48,11,18,7,5,1,5,17.0,17.0,1.0,104,12.5,1070.0,20:35,3.6,1.5,5.1
6,7.0,Igor Larionov,41.0,C,70,11,32,43,-5,50,7,4,0,1,15.0,17.0,0.0,50,22.0,1012.0,14:28,3.0,0.8,3.8
7,8.0,Chris Chelios,40.0,D,79,6,33,39,40,126,5,1,0,1,24.0,6.0,3.0,128,4.7,1999.0,25:18,2.8,7.2,10.0
8,9.0,Pavel Datsyuk,23.0,C,70,11,24,35,4,4,9,2,0,1,15.0,9.0,0.0,79,13.9,955.0,13:39,2.3,1.1,3.4
9,10.0,Kris Draper,30.0,RW,82,15,15,30,26,56,13,0,2,3,14.0,0.0,1.0,137,10.9,1278.0,15:35,1.3,2.4,3.6
10,11.0,Tomas Holmström,29.0,RW,69,8,18,26,-12,58,2,6,0,1,9.0,9.0,0.0,79,10.1,855.0,12:23,1.3,0.4,1.7
11,12.0,Boyd Devereaux,23.0,LW,79,9,16,25,9,24,9,0,0,2,16.0,0.0,0.0,116,7.8,909.0,11:30,1.1,1.3,2.4
12,13.0,Kirk Maltby,29.0,LW,82,9,15,24,15,40,8,0,1,5,15.0,0.0,0.0,108,8.3,1097.0,13:23,0.5,1.7,2.2
13,14.0,Mathieu Dandenault,25.0,D,81,8,12,20,-5,44,6,2,0,3,10.0,2.0,0.0,97,8.2,1354.0,16:43,1.6,2.3,3.9
14,15.0,Steve Duchesne,36.0,D,64,3,15,18,3,28,2,1,0,2,14.0,1.0,0.0,70,4.3,1017.0,15:53,1.2,2.3,3.5
15,16.0,Fredrik Olausson,35.0,D,47,2,13,15,9,22,1,0,1,1,12.0,1.0,0.0,61,3.3,781.0,16:37,1.0,2.3,3.3
16,17.0,Darren McCarty,29.0,RW,62,5,7,12,2,98,5,0,0,1,7.0,0.0,0.0,74,6.8,731.0,11:47,-0.2,0.8,0.6
17,18.0,Jason Williams,21.0,RW,25,8,2,10,2,4,4,4,0,0,2.0,0.0,0.0,32,25.0,271.0,10:50,1.2,0.4,1.5
18,19.0,Jiri Fischer,21.0,D,80,2,8,10,17,67,2,0,0,1,8.0,0.0,0.0,103,1.9,1374.0,17:10,-0.1,4.1,4.0
19,20.0,Sean Avery,21.0,C,36,2,2,4,1,68,2,0,0,1,1.0,1.0,0.0,30,6.7,283.0,7:51,-0.1,0.3,0.2
20,21.0,Maxim Kuznetsov,24.0,D,39,1,2,3,0,40,1,0,0,0,2.0,0.0,0.0,27,3.7,462.0,11:51,-0.1,0.9,0.9
21,22.0,Brent Gilchrist,34.0,C,19,1,1,2,-3,8,1,0,0,1,1.0,0.0,0.0,24,4.2,178.0,9:22,-0.2,0.1,-0.1
22,23.0,Dominik Hasek,37.0,G,65,0,1,1,0,8,0,0,0,0,,,,0,,3872.0,59:34,0.0,0.0,11.6
23,24.0,Uwe Krupp,36.0,D,8,0,1,1,-1,8,0,0,0,0,1.0,0.0,0.0,9,0.0,136.0,17:03,0.0,0.2,0.2
24,25.0,Manny Legace,28.0,G,20,0,1,1,0,0,0,0,0,0,,,,0,,1117.0,55:52,0.0,0.0,3.3
25,26.0,Jiri Slegr,30.0,D,8,0,1,1,1,8,0,0,0,0,1.0,0.0,0.0,11,0.0,154.0,19:16,-0.1,0.4,0.3
26,27.0,Jesse Wallin,23.0,D,15,0,1,1,-1,13,0,0,0,0,1.0,0.0,0.0,8,0.0,160.0,10:42,-0.1,0.2,0.2
27,28.0,Yuri Butsayev,23.0,C,3,0,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,4,0.0,29.0,9:44,-0.1,0.0,-0.1
28,29.0,Ladislav Kohn,26.0,RW,4,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,2,0.0,21.0,5:13,-0.1,0.0,0.0
