,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Marcel Dionne,20.0,C,78,28,49,77,0,14.0,21.0,7.0,0.0,2,31,18.0,0.0,268,10.4,,,6.1,1.1,7.2
1,2.0,Mickey Redmond,24.0,RW,78,42,29,71,-15,34.0,32.0,10.0,0.0,5,17,12.0,0.0,271,15.5,,,6.8,0.6,7.4
2,3.0,Red Berenson,32.0,C,78,28,41,69,-8,16.0,20.0,6.0,2.0,2,26,15.0,0.0,218,12.8,,,5.4,0.9,6.2
3,4.0,Alex Delvecchio,39.0,C,75,20,45,65,-17,22.0,11.0,9.0,0.0,5,36,9.0,0.0,123,16.3,,,4.4,0.5,4.9
4,5.0,Nick Libett,26.0,LW,77,31,22,53,7,50.0,22.0,6.0,3.0,5,17,5.0,0.0,219,14.2,,,4.3,1.3,5.6
5,6.0,Tim Ecclestone,24.0,RW,72,18,35,53,-21,33.0,8.0,10.0,0.0,1,24,11.0,0.0,189,9.5,,,3.3,0.3,3.6
6,7.0,Bill Collins,28.0,RW,71,15,25,40,3,38.0,13.0,2.0,0.0,2,22,3.0,0.0,157,9.6,,,1.9,1.1,3.0
7,8.0,Gary Bergman,33.0,D,75,6,31,37,7,138.0,5.0,1.0,0.0,0,21,9.0,1.0,141,4.3,,,2.2,4.2,6.4
8,9.0,Al Karlander,25.0,C,71,15,20,35,13,29.0,15.0,0.0,0.0,5,15,5.0,0.0,93,16.1,,,1.5,1.5,2.9
9,10.0,Ron Stackhouse,22.0,D,73,5,25,30,-11,81.0,4.0,1.0,0.0,0,18,7.0,0.0,117,4.3,,,1.6,2.9,4.4
10,11.0,Leon Rochefort,32.0,RW,64,17,12,29,1,10.0,17.0,0.0,0.0,3,10,1.0,1.0,97,17.5,,,1.4,1.0,2.4
11,12.0,Guy Charron,23.0,LW,64,9,16,25,-8,14.0,9.0,0.0,0.0,1,14,2.0,0.0,119,7.6,,,0.3,0.7,1.0
12,13.0,Arnie Brown,30.0,D,77,2,23,25,-13,84.0,2.0,0.0,0.0,1,22,1.0,0.0,107,1.9,,,0.8,2.9,3.7
13,14.0,Larry Johnston,28.0,D,65,4,20,24,21,111.0,4.0,0.0,0.0,0,19,0.0,1.0,59,6.8,,,1.1,4.6,5.7
14,15.0,Doug Volmar,27.0,RW,39,9,5,14,1,8.0,6.0,3.0,0.0,1,4,1.0,0.0,43,20.9,,,0.4,0.6,1.0
15,16.0,Ron Harris,29.0,D,61,1,10,11,-14,80.0,1.0,0.0,0.0,0,7,2.0,1.0,56,1.8,,,-0.2,2.1,1.8
16,17.0,Danny Johnson,27.0,LW,43,2,5,7,-3,8.0,2.0,0.0,0.0,0,5,0.0,0.0,28,7.1,,,-1.0,0.5,-0.5
17,18.0,Bob Wall,29.0,LW,45,2,4,6,-7,9.0,0.0,2.0,0.0,0,4,0.0,0.0,31,6.5,,,-1.2,0.4,-0.8
18,19.0,Ab McDonald,35.0,LW,19,2,3,5,-8,0.0,1.0,1.0,0.0,0,3,0.0,0.0,29,6.9,,,-0.2,0.0,-0.2
19,20.0,Brian Conacher,30.0,LW,22,3,1,4,-3,4.0,2.0,0.0,1.0,0,1,0.0,0.0,21,14.3,,,-0.3,0.2,-0.1
20,21.0,Al Smith,26.0,G,43,0,4,4,0,23.0,,,,0,4,,,0,,2495.0,58:01,0.0,0.0,6.0
21,22.0,Tom Webster,23.0,RW,5,1,1,2,-5,4.0,0.0,1.0,0.0,0,0,1.0,0.0,7,14.3,,,0.1,-0.1,0.0
22,23.0,Henry Boucha,20.0,C,16,1,0,1,-3,2.0,1.0,0.0,0.0,0,0,0.0,0.0,11,9.1,,,-0.5,0.1,-0.4
23,24.0,Andy Brown,27.0,G,10,0,1,1,0,0.0,,,,0,1,,,0,,558.0,55:49,0.0,0.0,0.7
24,25.0,Bill Sutherland,37.0,LW,5,0,1,1,-1,2.0,0.0,0.0,0.0,0,1,0.0,0.0,3,0.0,,,-0.1,0.0,-0.1
25,26.0,Joe Daley,28.0,G,29,0,0,0,0,2.0,,,,0,0,,,0,,1618.0,55:48,0.0,0.0,4.1
26,27.0,Bob Falkenberg,26.0,D,4,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,3,0.0,,,-0.1,0.3,0.2
27,28.0,Gerry Hart,24.0,D,3,0,0,0,-2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2,0.0,,,-0.1,0.0,0.0
28,29.0,Serge Lajeunesse,21.0,D,7,0,0,0,-1,20.0,0.0,0.0,0.0,0,0,0.0,0.0,2,0.0,,,-0.1,0.3,0.1
29,30.0,Randy Manery,23.0,D,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,,,,0.0,0.0,0.0
30,31.0,Rick McCann,27.0,C,0,0,0,0,0,,0.0,0.0,0.0,0,0,0.0,0.0,0,,,,0.0,0.0,0.0
31,32.0,Jim Niekamp,25.0,D,5,0,0,0,-3,10.0,0.0,0.0,0.0,0,0,0.0,0.0,2,0.0,,,-0.1,0.0,-0.1
