,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Pavel Datsyuk,30.0,C,81,32,65,97,34,22,20,11,1,3,39.0,25.0,1.0,248,12.9,1556.0,19:13,8.9,2.6,11.5,33.0,75,621.0,489.0,55.9
1,2.0,Henrik Zetterberg,28.0,C,77,31,42,73,13,36,17,12,2,5,24.0,18.0,0.0,309,10.0,1531.0,19:53,6.4,1.7,8.1,31.0,54,624.0,546.0,53.3
2,3.0,Marián Hossa,30.0,RW,74,40,31,71,27,63,30,10,0,8,17.0,13.0,1.0,307,13.0,1317.0,17:48,7.7,2.1,9.9,9.0,69,4.0,15.0,21.1
3,4.0,Johan Franzén,29.0,RW,71,34,25,59,21,44,22,11,1,8,17.0,8.0,0.0,246,13.8,1285.0,18:06,6.0,1.9,7.8,22.0,90,132.0,105.0,55.7
4,5.0,Nicklas Lidström,38.0,D,78,16,43,59,31,30,6,10,0,4,19.0,23.0,1.0,180,8.9,1936.0,24:49,5.5,5.7,11.2,66.0,43,0.0,0.0,
5,6.0,Brian Rafalski,35.0,D,78,10,49,59,17,20,5,5,0,1,26.0,23.0,0.0,141,7.1,1808.0,23:10,5.0,4.4,9.4,64.0,31,0.0,0.0,
6,7.0,Jiri Hudler,25.0,RW,82,23,34,57,7,16,17,6,0,2,12.0,22.0,0.0,155,14.8,1119.0,13:39,5.1,1.2,6.3,8.0,20,12.0,16.0,42.9
7,8.0,Niklas Kronwall,28.0,D,80,6,45,51,2,50,2,4,0,1,26.0,18.0,1.0,121,5.0,1832.0,22:54,3.7,3.2,7.0,106.0,94,1.0,0.0,100.0
8,9.0,Mikael Samuelsson,32.0,RW,81,19,21,40,0,50,12,7,0,1,8.0,13.0,0.0,257,7.4,1245.0,15:22,2.5,1.0,3.5,23.0,91,2.0,6.0,25.0
9,10.0,Dan Cleary,30.0,RW,74,14,26,40,0,46,11,3,0,3,23.0,3.0,0.0,163,8.6,1253.0,16:56,2.0,1.0,3.0,36.0,107,67.0,54.0,55.4
10,11.0,Valtteri Filppula,24.0,C,80,12,28,40,9,42,11,1,0,1,25.0,3.0,0.0,129,9.3,1288.0,16:06,1.7,1.4,3.1,17.0,41,405.0,370.0,52.3
