,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Henrik Zetterberg,31.0,LW,82,22,47,69,14,47,19,3,0,4,34.0,11.0,2.0,267,8.2,1627.0,19:50,5.5,2.1,7.6,26,45,548,567,49.1
1,2.0,Pavel Datsyuk,33.0,C,70,19,48,67,21,14,15,4,0,5,29.0,19.0,0.0,164,11.6,1370.0,19:34,5.7,2.2,7.9,31,76,702,547,56.2
2,3.0,Valtteri Filppula,27.0,C,81,23,43,66,18,14,19,3,1,1,35.0,8.0,0.0,144,16.0,1479.0,18:16,5.7,2.2,7.9,23,42,193,180,51.7
3,4.0,Johan Franzén,32.0,C,77,29,27,56,23,40,18,11,0,10,25.0,2.0,0.0,211,13.7,1363.0,17:42,5.6,2.3,7.9,30,60,79,100,44.1
4,5.0,Jiri Hudler,28.0,C,81,25,25,50,10,42,23,2,0,2,17.0,8.0,0.0,127,19.7,1269.0,15:40,4.7,1.6,6.4,15,48,2,5,28.6
5,6.0,Todd Bertuzzi,36.0,RW,71,14,24,38,23,64,14,0,0,1,20.0,4.0,0.0,118,11.9,1104.0,15:33,2.6,2.0,4.7,23,96,5,8,38.5
6,7.0,Niklas Kronwall,31.0,D,82,15,21,36,-2,38,8,7,0,4,13.0,7.0,1.0,141,10.6,1875.0,22:52,3.5,3.3,6.7,177,133,0,0,
7,8.0,Nicklas Lidström,41.0,D,70,11,23,34,21,28,7,4,0,0,10.0,13.0,0.0,148,7.4,1664.0,23:46,3.0,4.9,7.9,79,41,0,0,
8,9.0,Dan Cleary,33.0,LW,75,12,21,33,2,30,10,2,0,0,20.0,1.0,0.0,199,6.0,1199.0,15:59,1.6,1.2,2.8,33,90,21,30,41.2
9,10.0,Ian White,27.0,D,77,7,25,32,23,22,7,0,0,0,15.0,10.0,0.0,196,3.6,1770.0,22:59,2.2,5.2,7.5,92,49,0,0,
10,11.0,Darren Helm,25.0,C,68,9,17,26,5,12,9,0,0,2,17.0,0.0,0.0,124,7.3,987.0,14:31,1.1,1.1,2.2,27,97,403,374,51.9
11,12.0,Drew Miller,27.0,LW,80,14,11,25,6,20,14,0,0,4,11.0,0.0,0.0,131,10.7,1030.0,12:52,1.4,1.2,2.6,66,79,5,20,20.0
