,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Herbie Lewis,31.0,LW,42,13,18,31,,12,12.0,1.0,0.0,2.0,17,1.0,0.0,,,,,2.7,0.6,3.3
1,2.0,Marty Barry,32.0,C,48,9,20,29,,34,7.0,2.0,0.0,0.0,19,1.0,0.0,,,,,1.7,0.7,2.4
2,3.0,Syd Howe,26.0,C,48,8,19,27,,14,8.0,0.0,0.0,0.0,19,0.0,0.0,,,,,1.4,0.7,2.0
3,4.0,Carl Liscombe,22.0,LW,41,14,10,24,,30,13.0,1.0,0.0,2.0,10,0.0,0.0,,,,,2.1,0.6,2.6
4,5.0,Alex Motter,24.0,C,32,5,17,22,,6,4.0,1.0,0.0,2.0,17,0.0,0.0,,,,,1.3,0.4,1.8
5,6.0,Larry Aurie,32.0,RW,47,10,9,19,,19,10.0,0.0,0.0,0.0,8,1.0,0.0,,,,,0.8,0.7,1.4
6,7.0,Hec Kilrea,30.0,LW,48,9,9,18,,10,9.0,0.0,0.0,2.0,9,0.0,0.0,,,,,0.5,0.7,1.1
7,8.0,Eddie Wares,22.0,RW,21,9,7,16,,2,9.0,0.0,0.0,2.0,6,1.0,0.0,,,,,1.7,0.3,2.0
8,9.0,Bucko McDonald,23.0,D,47,3,7,10,,14,3.0,0.0,0.0,1.0,7,0.0,0.0,,,,,0.5,2.6,3.1
9,10.0,John Sorrell,32.0,LW,23,3,7,10,,0,3.0,0.0,0.0,1.0,6,1.0,0.0,,,,,0.2,0.3,0.6
10,11.0,Mud Bruneteau,23.0,RW,24,3,6,9,,16,3.0,0.0,0.0,0.0,6,0.0,0.0,,,,,0.1,0.3,0.4
11,12.0,Doug Young,29.0,D,48,3,5,8,,24,3.0,0.0,0.0,0.0,5,0.0,0.0,,,,,0.3,2.7,3.0
12,13.0,Ron Hudson,26.0,RW,32,5,2,7,,2,5.0,0.0,0.0,0.0,2,0.0,0.0,,,,,-0.3,0.4,0.1
13,14.0,Ebbie Goodfellow,30.0,D,30,0,7,7,,13,0.0,0.0,0.0,0.0,6,1.0,0.0,,,,,0.2,1.7,1.9
14,15.0,Joe Lamb,31.0,RW,12,3,1,4,,6,3.0,0.0,0.0,0.0,1,0.0,0.0,,,,,0.1,0.2,0.3
15,16.0,Gord Pettinger,26.0,LW,13,1,3,4,,4,1.0,0.0,0.0,0.0,3,0.0,0.0,,,,,-0.1,0.2,0.1
16,17.0,Red Beattie,30.0,LW,10,1,2,3,,0,1.0,0.0,0.0,0.0,2,0.0,0.0,,,,,-0.1,0.1,0.1
17,18.0,Ralph Bowman,26.0,D,45,0,2,2,,26,0.0,0.0,0.0,0.0,2,0.0,0.0,,,,,-0.6,2.5,1.9
18,19.0,Pete Bessone,25.0,D,6,0,1,1,,6,0.0,0.0,0.0,0.0,1,0.0,0.0,,,,,0.0,0.3,0.3
19,20.0,Ken Doraty,31.0,RW,2,0,1,1,,2,0.0,0.0,0.0,0.0,1,0.0,0.0,,,,,0.0,0.0,0.0
20,21.0,Clarence Drouillard,23.0,C,10,0,1,1,,0,0.0,0.0,0.0,0.0,1,0.0,0.0,,,,,-0.4,0.1,-0.3
21,22.0,Pete Kelly,24.0,RW,9,0,1,1,,2,0.0,0.0,0.0,0.0,1,0.0,0.0,,,,,-0.4,0.1,-0.2
22,23.0,Rolly Roulston,26.0,D,2,0,1,1,,0,0.0,0.0,0.0,0.0,1,0.0,0.0,,,,,0.1,0.1,0.2
23,24.0,John Doran,26.0,D,7,0,0,0,,10,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.4,0.3
24,25.0,Jimmy Franks,23.0,G,1,0,0,0,,0,,,,,0,,,,,60.0,60:00,0.0,0.0,0.1
25,26.0,Wally Kilrea,28.0,C,5,0,0,0,,4,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.3,0.1,-0.2
26,27.0,Howie Mackie,24.0,RW,7,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.4,0.1,-0.3
27,28.0,Jimmy Orlando,21.0,D,6,0,0,0,,4,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.3,0.2
28,29.0,John Sherf,24.0,LW,6,0,0,0,,2,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.3,0.1,-0.2
29,30.0,Normie Smith,29.0,G,47,0,0,0,,0,,,,,0,,,,,2930.0,62:20,0.0,0.0,6.6
