,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Pavel Datsyuk,28.0,C,79,27,60,87,36,20,20,5,2,5,35.0,24.0,1.0,207,13.0,1577.0,19:57,7.3,3.2,10.5
1,2.0,Henrik Zetterberg,26.0,LW,63,33,35,68,26,36,21,11,1,10,20.0,13.0,2.0,224,14.7,1313.0,20:50,6.7,2.5,9.2
2,3.0,Nicklas Lidström,36.0,D,80,13,49,62,40,46,3,10,0,1,23.0,23.0,3.0,224,5.8,2199.0,27:29,5.3,7.9,13.1
3,4.0,Tomas Holmström,34.0,LW,77,30,22,52,13,58,17,13,0,5,16.0,6.0,0.0,176,17.0,1171.0,15:13,5.1,1.8,6.9
4,5.0,Robert Lang,36.0,C,81,19,33,52,12,66,13,6,0,4,22.0,11.0,0.0,166,11.4,1362.0,16:49,3.4,2.0,5.4
5,6.0,Mathieu Schneider,37.0,D,68,11,41,52,12,66,8,2,1,2,12.0,29.0,0.0,184,6.0,1603.0,23:35,4.7,4.4,9.1
6,7.0,Dan Cleary,28.0,RW,71,20,20,40,6,24,12,6,2,5,17.0,2.0,1.0,135,14.8,1098.0,15:28,3.0,1.5,4.5
7,8.0,Mikael Samuelsson,30.0,RW,53,14,20,34,1,28,8,6,0,2,12.0,8.0,0.0,189,7.4,803.0,15:09,2.7,0.9,3.6
8,9.0,Johan Franzén,27.0,C,69,10,20,30,20,37,9,0,1,2,16.0,1.0,3.0,151,6.6,1076.0,15:35,1.0,2.0,3.0
9,10.0,Kris Draper,35.0,C,81,14,15,29,7,58,9,0,5,1,15.0,0.0,0.0,157,8.9,1357.0,16:45,0.5,1.8,2.3
10,11.0,Jason Williams,26.0,C,58,11,15,26,7,24,8,3,0,2,13.0,2.0,0.0,111,9.9,838.0,14:26,1.4,1.2,2.6
11,12.0,Jiri Hudler,23.0,C,76,15,10,25,16,36,12,3,0,4,8.0,2.0,0.0,107,14.0,763.0,10:02,1.9,1.5,3.4
12,13.0,Niklas Kronwall,26.0,D,68,1,21,22,0,54,0,1,0,0,16.0,5.0,0.0,104,1.0,1404.0,20:39,0.8,3.0,3.8
13,14.0,Brett Lebda,25.0,D,74,5,13,18,16,61,4,1,0,2,13.0,0.0,0.0,107,4.7,1103.0,14:54,1.1,3.6,4.8
14,15.0,Valtteri Filppula,22.0,C,73,10,7,17,8,20,10,0,0,1,7.0,0.0,0.0,76,13.2,822.0,11:16,0.4,1.2,1.6
15,16.0,Danny Markov,30.0,D,66,4,12,16,25,59,4,0,0,0,11.0,0.0,1.0,66,6.1,1246.0,18:53,0.6,4.7,5.3
16,17.0,Kyle Calder,28.0,LW,19,5,9,14,6,22,4,1,0,2,6.0,3.0,0.0,42,11.9,325.0,17:05,1.0,0.6,1.6
17,18.0,Kirk Maltby,34.0,LW,82,6,5,11,-9,50,6,0,0,0,5.0,0.0,0.0,113,5.3,1081.0,13:11,-1.4,0.8,-0.5
18,19.0,Chris Chelios,45.0,D,71,0,11,11,11,34,0,0,0,0,10.0,0.0,1.0,72,0.0,1287.0,18:08,-0.4,3.6,3.3
19,20.0,Andreas Lilja,31.0,D,57,0,5,5,6,54,0,0,0,0,5.0,0.0,0.0,37,0.0,878.0,15:25,-0.5,2.4,1.9
20,21.0,Todd Bertuzzi,31.0,RW,8,2,2,4,3,6,2,0,0,0,1.0,1.0,0.0,15,13.3,124.0,15:32,0.3,0.3,0.5
21,22.0,Dominik Hasek,42.0,G,56,0,2,2,0,20,0,0,0,0,,,,0,,3341.0,59:39,0.0,0.0,9.1
22,23.0,Josh Langfeld,29.0,RW,33,0,2,2,2,12,0,0,0,0,2.0,0.0,0.0,37,0.0,183.0,5:33,-0.3,0.3,0.0
23,24.0,Tomas Kopecky,24.0,RW,26,1,0,1,-2,22,1,0,0,0,0.0,0.0,0.0,27,3.7,189.0,7:15,-0.3,0.1,-0.2
24,25.0,Kyle Quincey,21.0,D,6,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,7,14.3,69.0,11:26,0.1,0.1,0.3
25,26.0,Brad Norton,31.0,D,6,0,1,1,2,20,0,0,0,0,1.0,0.0,0.0,2,0.0,25.0,4:08,0.1,0.2,0.3
26,27.0,Chris Osgood,34.0,G,21,0,1,1,0,6,0,0,0,0,,,,0,,1161.0,55:17,0.0,0.0,3.1
27,28.0,Darryl Bootland,25.0,RW,6,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,4,0.0,25.0,4:08,-0.1,0.0,0.0
28,29.0,Matt Ellis,25.0,LW,16,0,0,0,-1,6,0,0,0,0,0.0,0.0,0.0,22,0.0,89.0,5:35,-0.3,0.1,-0.2
29,30.0,Matt Hussey,27.0,C,5,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,6,0.0,28.0,5:38,-0.1,0.0,-0.1
30,31.0,Joey MacDonald,26.0,G,8,0,0,0,0,0,0,0,0,0,,,,0,,468.0,58:30,0.0,0.0,0.5
31,32.0,Derek Meech,22.0,D,4,0,0,0,1,2,0,0,0,0,0.0,0.0,0.0,3,0.0,23.0,5:47,0.0,0.1,0.1
