,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Filip Hronek,23.0,D,56,2,24,26,-18,16,2,0,0,0,13,11,0,114,1.8,1310.0,23:23,1.3,1.9,3.2,46,67,0,0,
1,2.0,Dylan Larkin,24.0,C,44,9,14,23,-14,34,8,1,0,0,9,5,0,134,6.7,898.0,20:24,0.8,0.6,1.4,17,38,361,369,49.5
2,3.0,Anthony Mantha,26.0,RW,42,11,10,21,-14,17,9,2,0,0,10,0,0,100,11.0,766.0,18:15,1.2,0.4,1.6,20,34,15,16,48.4
3,4.0,Adam Erne,25.0,LW,45,11,9,20,-1,26,8,3,0,0,6,3,0,71,15.5,626.0,13:55,1.5,0.8,2.2,16,82,20,14,58.8
4,5.0,Filip Zadina,21.0,RW,49,6,13,19,-4,0,3,3,0,1,10,3,0,97,6.2,823.0,16:48,0.3,0.9,1.2,22,22,5,10,33.3
5,6.0,Robby Fabbri,25.0,C,30,10,8,18,3,16,10,0,0,5,6,2,0,58,17.2,518.0,17:16,1.5,0.8,2.3,17,34,83,107,43.7
6,7.0,Vladislav Namestnikov,28.0,C,53,8,9,17,-5,24,8,0,0,0,9,0,0,87,9.2,858.0,16:11,0.2,0.9,1.1,35,71,135,210,39.1
7,8.0,Sam Gagner,31.0,C,42,7,8,15,-4,15,6,1,0,1,8,0,0,88,8.0,649.0,15:26,0.5,0.7,1.2,14,5,83,97,46.1
8,9.0,Valtteri Filppula,36.0,C,38,6,9,15,-1,12,6,0,0,1,9,0,0,25,24.0,593.0,15:36,0.5,0.7,1.3,15,9,109,133,45.0
9,10.0,Luke Glendening,31.0,C,54,6,9,15,3,20,6,0,0,1,9,0,0,67,9.0,799.0,14:48,0.0,1.1,1.1,57,68,523,336,60.9
10,11.0,Bobby Ryan,33.0,LW,33,7,7,14,-14,27,6,1,0,0,5,2,0,73,9.6,506.0,15:19,0.8,0.1,0.9,17,31,5,11,31.3
11,12.0,Danny DeKeyser,30.0,D,47,4,8,12,3,18,4,0,0,0,8,0,0,43,9.3,851.0,18:06,0.6,2.4,3.0,81,44,0,0,
12,13.0,Michael Rasmussen,21.0,C,40,3,9,12,-5,26,3,0,0,1,7,2,0,62,4.8,592.0,14:48,-0.1,0.6,0.5,28,72,134,168,44.4
13,14.0,Jakub Vrana,24.0,LW,11,8,3,11,1,2,8,0,0,3,2,1,0,32,25.0,190.0,17:16,1.5,0.3,1.7,4,3,2,2,50.0
14,15.0,Troy Stecher,26.0,D,44,3,8,11,-13,12,3,0,0,0,8,0,0,55,5.5,762.0,17:19,0.5,0.9,1.4,46,33,0,0,
