,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Gordie Howe,32.0,RW,64,23,49,72,-5.0,30,15.0,6.0,2.0,4.0,31,17.0,1.0,357.0,6.4,,,5.8,0.9,6.7
1,2.0,Norm Ullman,25.0,C,70,28,42,70,13.0,34,23.0,5.0,0.0,5.0,32,7.0,3.0,205.0,13.7,,,5.8,1.0,6.8
2,3.0,Alex Delvecchio,28.0,C,70,27,35,62,0.0,26,20.0,5.0,2.0,3.0,28,6.0,1.0,268.0,10.1,,,5.0,1.0,6.0
3,4.0,Allan Johnson,25.0,RW,70,16,21,37,-6.0,12,15.0,1.0,0.0,1.0,20,1.0,0.0,149.0,10.7,,,1.7,1.0,2.7
4,5.0,Pete Goegan,26.0,D,67,5,29,34,-9.0,78,4.0,1.0,0.0,1.0,15,14.0,0.0,174.0,2.9,,,2.4,3.7,6.1
5,6.0,Howie Glover,25.0,RW,66,21,8,29,-15.0,46,15.0,6.0,0.0,4.0,6,2.0,0.0,153.0,13.7,,,1.6,0.9,2.5
6,7.0,Parker MacDonald,27.0,C,70,14,12,26,-6.0,6,11.0,3.0,0.0,1.0,6,5.0,1.0,154.0,9.1,,,0.5,1.0,1.5
7,8.0,Gerry Melnyk,26.0,C,70,9,16,25,-11.0,2,9.0,0.0,0.0,1.0,15,1.0,0.0,111.0,8.1,,,0.0,1.0,0.9
8,9.0,Vic Stasiuk,31.0,LW,23,10,13,23,-2.0,16,6.0,4.0,0.0,1.0,7,6.0,0.0,64.0,15.6,,,2.0,0.3,2.3
9,10.0,Murray Oliver,23.0,C,46,11,10,21,-15.0,12,8.0,3.0,0.0,2.0,8,2.0,0.0,109.0,10.1,,,1.0,0.6,1.7
10,11.0,Warren Godfrey,29.0,D,63,3,16,19,4.0,62,3.0,0.0,0.0,0.0,15,1.0,0.0,114.0,2.6,,,0.9,3.5,4.4
11,12.0,Len Lunde,24.0,C,53,6,12,18,0.0,10,4.0,2.0,0.0,0.0,10,2.0,0.0,76.0,7.9,,,-0.2,0.7,0.5
12,13.0,Val Fonteyne,27.0,LW,66,6,11,17,-5.0,4,6.0,0.0,0.0,0.0,10,1.0,0.0,90.0,6.7,,,-0.9,0.9,0.1
13,14.0,Marcel Pronovost,30.0,D,70,6,11,17,-15.0,44,4.0,1.0,1.0,0.0,10,1.0,0.0,110.0,5.5,,,0.9,3.8,4.7
14,15.0,Leo Labine,29.0,RW,24,2,9,11,-5.0,32,1.0,1.0,0.0,1.0,9,0.0,0.0,51.0,3.9,,,0.1,0.3,0.4
15,16.0,Gary Aldcorn,25.0,LW,46,2,6,8,-5.0,16,2.0,0.0,0.0,0.0,5,1.0,0.0,46.0,4.3,,,-1.1,0.6,-0.5
16,17.0,Howie Young,23.0,RW,29,0,8,8,-8.0,108,0.0,0.0,0.0,0.0,7,1.0,0.0,30.0,0.0,,,-0.6,0.4,-0.2
17,18.0,Gerry Odrowski,22.0,D,68,1,4,5,0.0,45,1.0,0.0,0.0,0.0,4,0.0,0.0,51.0,2.0,,,-0.6,3.7,3.1
18,19.0,John McKenzie,23.0,RW,16,3,1,4,0.0,13,3.0,0.0,0.0,1.0,0,1.0,0.0,17.0,17.6,,,-0.1,0.2,0.1
19,20.0,Brian Smith,23.0,W,26,0,2,2,-2.0,10,0.0,0.0,0.0,0.0,2,0.0,0.0,21.0,0.0,,,-1.0,0.4,-0.6
20,21.0,Len Haley,29.0,RW,3,1,0,1,0.0,2,1.0,0.0,0.0,0.0,0,0.0,0.0,3.0,33.3,,,0.0,0.0,0.1
21,22.0,Claude Laforge,24.0,LW,10,1,0,1,0.0,2,1.0,0.0,0.0,0.0,0,0.0,0.0,13.0,7.7,,,-0.3,0.1,-0.1
22,23.0,Hank Bassen,28.0,G,35,0,1,1,,6,,,,,1,,,,,2046.0,58:27,0.0,0.0,5.7
23,24.0,Bruce MacGregor,19.0,C,12,0,1,1,-7.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,12.0,0.0,,,-0.4,0.2,-0.3
24,25.0,Marc Reaume,26.0,D,38,0,1,1,-12.0,8,0.0,0.0,0.0,0.0,1,0.0,0.0,9.0,0.0,,,-0.6,2.1,1.5
25,26.0,Terry Sawchuk,31.0,G,37,0,1,1,,8,,,,,1,,,,,2148.0,58:03,0.0,0.0,5.3
26,27.0,Edward Diachuk,24.0,LW,12,0,0,0,-4.0,17,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,0.0,,,-0.5,0.2,-0.4
27,28.0,Rich Healey,22.0,D,1,0,0,0,0.0,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.1,0.0
