,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Dylan Larkin,21.0,C,82,16,47,63,-9,61,13,1,2,4,39,7,1,232,6.9,1627.0,19:51,3.5,1.6,5.2,42.0,76,656.0,658.0,49.9
1,2.0,Henrik Zetterberg,37.0,LW,82,11,45,56,1,14,10,1,0,2,28,17,0,180,6.1,1599.0,19:30,2.4,2.0,4.4,34.0,49,666.0,709.0,48.4
2,3.0,Anthony Mantha,23.0,RW,80,24,24,48,-1,52,15,9,0,2,21,3,0,190,12.6,1384.0,17:18,3.5,1.7,5.2,36.0,91,17.0,35.0,32.7
3,4.0,Gustav Nyquist,28.0,RW,82,21,19,40,-2,20,18,3,0,2,14,5,0,213,9.9,1464.0,17:51,2.2,1.7,3.9,36.0,65,6.0,7.0,46.2
4,5.0,Justin Abdelkader,30.0,LW,75,13,22,35,-11,78,9,4,0,0,17,5,0,110,11.8,1241.0,16:33,1.4,1.1,2.5,40.0,174,47.0,50.0,48.5
5,6.0,Andreas Athanasiou,23.0,C,71,16,17,33,-15,16,15,1,0,2,15,2,0,170,9.4,1087.0,15:19,2.0,0.8,2.7,28.0,24,106.0,149.0,41.6
6,7.0,Frans Nielsen,33.0,C,79,16,17,33,1,14,10,4,2,3,13,3,1,134,11.9,1250.0,15:50,1.5,1.6,3.1,62.0,49,483.0,558.0,46.4
7,8.0,Mike Green,32.0,D,66,8,25,33,-14,38,7,1,0,0,13,12,0,132,6.1,1457.0,22:05,2.4,2.4,4.7,74.0,78,0.0,0.0,
8,9.0,Darren Helm,31.0,C,75,13,18,31,3,39,11,0,2,0,16,0,2,141,9.2,1167.0,15:34,1.2,1.6,2.8,36.0,131,45.0,57.0,44.1
9,10.0,Tomas Tatar,27.0,C,62,16,12,28,-8,24,8,8,0,3,9,3,0,140,11.4,1038.0,16:44,1.6,1.0,2.6,24.0,45,1.0,8.0,11.1
10,11.0,Niklas Kronwall,37.0,D,79,4,23,27,-14,36,2,2,0,0,10,13,0,76,5.3,1463.0,18:31,1.4,2.4,3.7,107.0,82,0.0,0.0,
11,12.0,Martin Frk,24.0,RW,68,11,14,25,-14,14,6,5,0,0,10,4,0,99,11.1,700.0,10:17,1.7,0.3,2.0,10.0,77,0.0,2.0,0.0
12,13.0,Tyler Bertuzzi,22.0,LW,48,7,17,24,-7,39,6,1,0,1,16,1,0,83,8.4,691.0,14:24,1.2,0.6,1.8,38.0,53,1.0,7.0,12.5
13,14.0,Luke Glendening,28.0,C,69,11,8,19,-14,17,8,1,2,2,7,0,1,88,12.5,911.0,13:12,0.5,0.6,1.1,83.0,137,394.0,285.0,58.0
14,15.0,Trevor Daley,34.0,D,77,9,7,16,-5,36,8,0,1,4,5,0,2,103,8.7,1594.0,20:42,0.6,3.4,4.0,125.0,24,0.0,0.0,
