,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Marty Barry,30.0,C,48,21,19,40,,16,15.0,6.0,0.0,2.0,15,4.0,0.0,,,,,5.9,0.9,6.8
1,2.0,Herbie Lewis,29.0,LW,45,14,23,37,,25,10.0,4.0,0.0,4.0,17,6.0,0.0,,,,,4.7,0.8,5.5
2,3.0,Larry Aurie,30.0,RW,44,16,18,34,,17,12.0,4.0,0.0,3.0,11,7.0,0.0,,,,,4.6,0.8,5.4
3,4.0,Syd Howe,24.0,LW,48,16,14,30,,26,14.0,2.0,0.0,2.0,12,2.0,0.0,,,,,3.9,0.9,4.8
4,5.0,John Sorrell,30.0,LW,48,13,15,28,,8,9.0,4.0,0.0,4.0,9,6.0,0.0,,,,,3.2,0.9,4.1
5,6.0,Hec Kilrea,28.0,LW,48,6,17,23,,37,5.0,1.0,0.0,1.0,14,3.0,0.0,,,,,1.5,0.9,2.4
6,7.0,Ebbie Goodfellow,28.0,C,48,5,18,23,,69,5.0,0.0,0.0,1.0,9,9.0,0.0,,,,,1.4,0.9,2.3
7,8.0,Doug Young,27.0,D,47,5,12,17,,54,4.0,1.0,0.0,2.0,10,2.0,0.0,,,,,2.1,3.5,5.6
8,9.0,Gord Pettinger,24.0,LW,30,8,7,15,,6,6.0,2.0,0.0,2.0,7,0.0,0.0,,,,,1.6,0.6,2.2
9,10.0,Pete Kelly,22.0,RW,48,6,8,14,,30,6.0,0.0,0.0,1.0,7,1.0,0.0,,,,,0.3,0.9,1.2
10,11.0,Wally Kilrea,26.0,C,44,4,10,14,,10,4.0,0.0,0.0,0.0,10,0.0,0.0,,,,,0.2,0.8,1.1
11,12.0,Bucko McDonald,21.0,D,47,4,6,10,,32,4.0,0.0,0.0,1.0,5,1.0,0.0,,,,,1.0,3.5,4.5
12,13.0,Ralph Bowman,24.0,D,48,3,2,5,,44,3.0,0.0,0.0,0.0,2,0.0,0.0,,,,,0.1,3.6,3.7
13,14.0,Mud Bruneteau,21.0,RW,24,2,0,2,,2,2.0,0.0,0.0,1.0,0,0.0,0.0,,,,,-0.7,0.4,-0.2
14,15.0,Art Giroux,27.0,RW,4,0,2,2,,0,0.0,0.0,0.0,0.0,2,0.0,0.0,,,,,0.1,0.1,0.1
15,16.0,Wilf Starr,26.0,LW,9,1,0,1,,0,1.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.2,0.2,0.0
16,17.0,Lorne Duguid,25.0,LW,5,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.3,0.1,-0.2
17,18.0,Rolly Roulston,24.0,D,1,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.1,0.1
18,19.0,John Sherf,22.0,LW,1,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.0,0.0
19,20.0,Normie Smith,27.0,G,48,0,0,0,,0,,,,,0,,,,,3030.0,63:08,0.0,0.0,8.3
20,21.0,Eddie Wiseman,23.0,RW,2,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.0,-0.1
