,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Steve Yzerman,27.0,C,84,58,79,137,33,44,38,13,7,6,49.0,28.0,2.0,307,18.9,,,11.1,1.8,13.0
1,2.0,Dino Ciccarelli,32.0,RW,82,41,56,97,12,81,20,21,0,8,33.0,23.0,0.0,200,20.5,,,7.0,1.2,8.2
2,3.0,Sergei Fedorov,23.0,C,73,34,53,87,33,72,17,13,4,3,30.0,18.0,5.0,217,15.7,,,6.1,1.7,7.8
3,4.0,Ray Sheppard,26.0,RW,70,32,34,66,7,29,22,10,0,1,16.0,18.0,0.0,183,17.5,,,4.5,0.9,5.5
4,5.0,Paul Ysebaert,26.0,LW,80,34,28,62,19,42,28,3,3,8,22.0,5.0,1.0,186,18.3,,,4.0,1.4,5.4
5,6.0,Steve Chiasson,25.0,D,79,12,50,62,14,155,6,6,0,1,21.0,27.0,2.0,227,5.3,,,3.8,4.4,8.2
6,7.0,Jimmy Carson,24.0,C,52,25,26,51,0,18,12,13,0,4,13.0,13.0,0.0,108,23.1,,,3.6,0.5,4.1
7,8.0,Dallas Drake,23.0,LW,72,18,26,44,15,93,13,3,2,5,22.0,4.0,0.0,89,20.2,,,1.8,1.2,3.0
8,9.0,Bob Probert,27.0,RW,80,14,29,43,-9,292,8,6,0,3,21.0,8.0,0.0,128,10.9,,,1.1,0.6,1.7
9,10.0,Nicklas Lidström,22.0,D,84,7,34,41,7,28,4,3,0,2,13.0,17.0,4.0,156,4.5,,,1.8,4.3,6.1
10,11.0,Yves Racine,23.0,D,80,9,31,40,10,80,4,5,0,0,21.0,10.0,0.0,163,5.5,,,1.9,4.3,6.2
11,12.0,Shawn Burr,26.0,LW,80,10,25,35,18,74,8,1,1,2,19.0,0.0,6.0,99,10.1,,,0.2,1.3,1.6
12,13.0,Mark Howe,37.0,D,60,3,31,34,22,22,0,3,0,0,14.0,17.0,0.0,72,4.2,,,1.5,4.0,5.5
13,14.0,Keith Primeau,21.0,C,73,15,17,32,-6,152,10,4,1,2,13.0,4.0,0.0,75,20.0,,,0.7,0.6,1.3
14,15.0,Sheldon Kennedy,23.0,C,68,19,11,30,-1,46,18,1,0,2,11.0,0.0,0.0,110,17.3,,,1.0,0.7,1.7
15,16.0,Gerard Gallant,29.0,LW,67,10,20,30,20,188,10,0,0,0,19.0,1.0,0.0,81,12.3,,,0.4,1.3,1.6
16,17.0,Paul Coffey,31.0,D,30,4,26,30,7,27,1,3,0,0,8.0,18.0,0.0,72,5.6,,,1.9,1.8,3.7
17,18.0,Vladimir Konstantinov,25.0,D,82,5,17,22,22,137,5,0,0,0,16.0,1.0,0.0,85,5.9,,,0.3,5.0,5.3
18,19.0,Mike Sillinger,21.0,C,51,4,17,21,0,16,4,0,0,0,17.0,0.0,0.0,47,8.5,,,-0.1,0.5,0.4
19,20.0,Brad McCrimmon,33.0,D,60,1,14,15,21,71,0,1,0,0,9.0,5.0,0.0,53,1.9,,,-0.1,4.0,3.9
20,21.0,John Ogrodnick,33.0,LW,19,6,6,12,-2,2,2,4,0,0,3.0,3.0,0.0,25,24.0,,,0.6,0.1,0.7
21,22.0,Jim Hiller,23.0,RW,21,2,6,8,7,19,2,0,0,0,6.0,0.0,0.0,24,8.3,,,-0.1,0.4,0.3
22,23.0,Vyacheslav Kozlov,20.0,C,17,4,1,5,-1,14,4,0,0,0,1.0,0.0,0.0,26,15.4,,,0.0,0.2,0.2
23,24.0,Tim Cheveldae,24.0,G,67,0,4,4,0,4,0,0,0,0,,,,0,,3880.0,57:54,0.0,0.0,10.7
24,25.0,Jim Cummins,22.0,RW,7,1,1,2,0,58,1,0,0,0,1.0,0.0,0.0,5,20.0,,,0.0,0.1,0.0
25,26.0,Chris Tancill,24.0,C,4,1,0,1,-2,2,1,0,0,0,0.0,0.0,0.0,3,33.3,,,0.0,0.0,0.0
26,27.0,Steve Konroyd,31.0,D,6,0,1,1,1,4,0,0,0,0,1.0,0.0,0.0,4,0.0,,,-0.1,0.3,0.3
27,28.0,Dennis Vial,23.0,D,9,0,1,1,1,20,0,0,0,0,1.0,0.0,0.0,5,0.0,,,-0.1,0.5,0.4
28,29.0,Bobby Dollas,28.0,D,6,0,0,0,-1,2,0,0,0,0,0.0,0.0,0.0,5,0.0,,,-0.1,0.2,0.1
29,30.0,Gord Kruppke,23.0,D,10,0,0,0,1,20,0,0,0,0,0.0,0.0,0.0,7,0.0,,,-0.2,0.5,0.3
30,31.0,Martin Lapointe,19.0,RW,3,0,0,0,-2,0,0,0,0,0,0.0,0.0,0.0,2,0.0,,,-0.1,0.0,-0.1
31,32.0,Vincent Riendeau,26.0,G,22,0,0,0,0,2,0,0,0,0,,,,0,,1193.0,54:14,0.0,0.0,2.5
32,33.0,Jason York,22.0,D,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,,,0.0,0.1,0.1
