,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Tom Webster,22.0,RW,78,30,37,67,-48,40,23.0,7.0,0.0,5,21,16.0,0.0,183,16.4,,,5.3,-0.3,5.0
1,2.0,Alex Delvecchio,38.0,C,77,21,34,55,-20,6,15.0,6.0,0.0,2,21,11.0,2.0,171,12.3,,,3.5,0.6,4.1
2,3.0,Gordie Howe,42.0,RW,63,23,29,52,-3,38,15.0,7.0,1.0,3,20,9.0,0.0,195,11.8,,,4.0,0.9,4.9
3,4.0,Gary Bergman,32.0,D,68,8,25,33,-29,151,7.0,0.0,1.0,0,20,5.0,0.0,168,4.8,,,2.3,1.9,4.2
4,5.0,Frank Mahovlich,33.0,LW,35,14,18,32,4,30,7.0,6.0,1.0,2,12,5.0,1.0,104,13.5,,,2.6,0.7,3.3
5,6.0,Nick Libett,25.0,LW,78,16,13,29,-36,25,14.0,2.0,0.0,1,11,2.0,0.0,156,10.3,,,0.7,0.1,0.8
6,7.0,Garry Unger,23.0,C,51,13,14,27,-32,63,13.0,0.0,0.0,1,9,5.0,0.0,157,8.3,,,1.4,-0.2,1.2
7,8.0,Bruce MacGregor,29.0,RW,47,6,16,22,-11,18,6.0,0.0,0.0,0,13,3.0,0.0,68,8.8,,,0.5,0.4,0.9
8,9.0,Wayne Connelly,31.0,RW,51,8,13,21,-24,12,7.0,1.0,0.0,2,6,7.0,0.0,115,7.0,,,0.4,0.0,0.5
9,10.0,Bill Collins,27.0,RW,36,5,16,21,-1,10,4.0,1.0,0.0,0,10,4.0,2.0,105,4.8,,,0.8,0.6,1.3
10,11.0,Red Berenson,31.0,C,24,5,12,17,-8,4,4.0,1.0,0.0,1,5,7.0,0.0,51,9.8,,,0.9,0.1,1.1
11,12.0,Rene Leclerc,23.0,RW,44,8,8,16,-4,43,5.0,3.0,0.0,1,7,0.0,1.0,56,14.3,,,0.3,0.6,0.8
