,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Henrik Zetterberg,34.0,LW,77,17,49,66,-6,32,13,4,0,3,25,24,0,227,7.5,1472.0,19:07,5.3,1.4,6.7,26,55,541,522,50.9
1,2.0,Pavel Datsyuk,36.0,C,63,26,39,65,12,8,18,8,0,5,23,16,0,165,15.8,1200.0,19:03,6.9,1.9,8.8,28,51,601,517,53.8
2,3.0,Tomas Tatar,24.0,C,82,29,27,56,6,28,20,9,0,7,17,10,0,211,13.7,1330.0,16:13,5.9,1.8,7.7,18,90,6,4,60.0
3,4.0,Gustav Nyquist,25.0,C,82,27,27,54,-11,26,13,14,0,4,17,10,0,195,13.8,1366.0,16:39,5.3,1.1,6.4,31,43,1,8,11.1
4,5.0,Justin Abdelkader,27.0,LW,71,23,21,44,3,72,15,8,0,5,15,6,0,154,14.9,1272.0,17:55,4.0,1.6,5.6,28,153,7,8,46.7
5,6.0,Niklas Kronwall,34.0,D,80,9,35,44,-4,40,6,3,0,1,15,20,0,101,8.9,1907.0,23:50,3.6,3.6,7.2,106,91,1,0,100.0
6,7.0,Riley Sheahan,23.0,C,79,13,23,36,-3,16,8,5,0,0,17,6,0,123,10.6,1236.0,15:39,2.1,1.3,3.3,20,21,484,479,50.3
7,8.0,Darren Helm,28.0,C,75,15,18,33,7,12,10,3,2,1,14,4,0,160,9.4,1188.0,15:50,2.1,1.7,3.7,25,132,223,192,53.7
8,9.0,Danny DeKeyser,24.0,D,80,2,29,31,11,42,2,0,0,1,23,6,0,89,2.2,1674.0,20:56,1.6,4.4,6.0,88,74,0,0,
9,10.0,Stephen Weiss,31.0,C,52,9,16,25,-2,16,6,3,0,1,10,6,0,52,17.3,590.0,11:21,2.2,0.6,2.8,12,19,10,11,47.6
10,11.0,Johan Franzén,35.0,C,33,7,15,22,-12,30,3,4,0,3,8,7,0,74,9.5,530.0,16:04,1.8,0.1,1.9,13,45,5,10,33.3
11,12.0,Luke Glendening,25.0,C,82,12,6,18,5,34,11,1,0,2,6,0,0,104,11.5,1207.0,14:43,0.0,1.6,1.6,73,147,499,463,51.9
12,13.0,Tomas Jurco,22.0,RW,63,3,15,18,6,14,2,1,0,0,14,1,0,92,3.3,725.0,11:31,0.3,1.1,1.4,11,97,0,2,0.0
13,14.0,Kyle Quincey,29.0,D,73,3,15,18,10,77,3,0,0,0,14,0,1,90,3.3,1422.0,19:29,0.6,3.8,4.4,82,104,0,0,
14,15.0,Jonathan Ericsson,30.0,D,82,3,12,15,-5,70,3,0,0,0,11,0,1,82,3.7,1606.0,19:35,0.0,2.9,2.9,55,114,0,0,
15,16.0,Jakub Kindl,27.0,D,35,5,8,13,2,22,3,2,0,0,3,5,0,54,9.3,557.0,15:55,1.3,1.3,2.7,25,31,0,0,
16,17.0,Drew Miller,30.0,LW,82,5,8,13,-3,25,4,0,1,0,7,1,0,98,5.1,1102.0,13:26,-1.1,1.1,0.1,99,119,6,13,31.6
