,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Walt McKechnie,28.0,C,80,26,56.0,82.0,8,85,21.0,2.0,3.0,7,33,19.0,4.0,186,14.0,,,5.2,1.5,6.7
1,2.0,Dan Maloney,25.0,LW,77,27,39.0,66.0,-1,203,19.0,6.0,2.0,3,29,9.0,1.0,254,10.6,,,4.1,1.2,5.3
2,3.0,Michel Bergeron,21.0,RW,72,32,27.0,59.0,2,48,20.0,12.0,0.0,4,21,6.0,0.0,190,16.8,,,4.2,1.2,5.4
3,4.0,Nick Libett,30.0,LW,80,20,26.0,46.0,-11,71,16.0,3.0,1.0,3,20,6.0,0.0,224,8.9,,,1.8,1.0,2.8
4,5.0,Bill Hogaboam,26.0,C,50,21,16.0,37.0,-9,30,13.0,6.0,2.0,0,12,4.0,0.0,116,18.1,,,2.5,0.5,3.0
5,6.0,Rick Lapointe,20.0,D,80,10,23.0,33.0,-2,95,8.0,2.0,0.0,0,20,3.0,0.0,106,9.4,,,1.8,4.3,6.1
6,7.0,Terry Harper,36.0,D,69,8,25.0,33.0,6,59,4.0,4.0,0.0,0,14,11.0,0.0,111,7.2,,,1.9,4.1,6.0
7,8.0,Mike Bloom,23.0,LW,76,13,17.0,30.0,-20,99,12.0,1.0,0.0,1,15,2.0,0.0,130,10.0,,,0.2,0.6,0.8
8,9.0,Mickey Redmond,28.0,RW,37,11,17.0,28.0,-17,10,9.0,2.0,0.0,3,11,6.0,0.0,123,8.9,,,1.5,0.1,1.6
9,10.0,Dennis Polonich,22.0,C,57,11,12.0,23.0,-9,302,10.0,1.0,0.0,0,11,1.0,0.0,97,11.3,,,0.3,0.7,0.9
10,11.0,Danny Grant,29.0,LW,39,10,13.0,23.0,-17,20,5.0,4.0,1.0,0,6,6.0,1.0,70,14.3,,,1.0,0.1,1.1
11,12.0,Bill Lochead,21.0,RW,53,9,11.0,20.0,-15,22,9.0,0.0,0.0,3,7,4.0,0.0,81,11.1,,,0.0,0.4,0.4
12,13.0,Bryan Watson,33.0,D,79,0,18.0,18.0,-18,322,0.0,0.0,0.0,0,16,1.0,1.0,88,0.0,,,-0.1,3.3,3.1
13,14.0,Buster Harvey,25.0,RW,35,8,9.0,17.0,-8,25,7.0,1.0,0.0,0,8,1.0,0.0,71,11.3,,,0.5,0.3,0.8
14,15.0,Dennis Hextall,32.0,C,17,5,9.0,14.0,2,71,5.0,0.0,0.0,1,8,1.0,0.0,32,15.6,,,0.8,0.3,1.1
15,16.0,J.P. LeBlanc,29.0,C,46,4,9.0,13.0,-5,39,4.0,0.0,0.0,0,8,1.0,0.0,60,6.7,,,-0.6,0.6,0.0
16,17.0,Barry Salovaara,28.0,D,63,2,11.0,13.0,-8,52,1.0,1.0,0.0,1,11,0.0,0.0,57,3.5,,,-0.1,3.0,2.9
17,18.0,Jean Hamel,23.0,D,77,3,9.0,12.0,-15,129,2.0,1.0,0.0,0,7,0.0,2.0,92,3.3,,,-0.3,3.3,3.0
18,19.0,Al Cameron,20.0,D,38,2,8.0,10.0,-7,49,1.0,1.0,0.0,0,8,0.0,0.0,59,3.4,,,0.2,1.7,1.9
19,20.0,Mike Korney,22.0,RW,27,1,7.0,8.0,-8,23,1.0,0.0,0.0,0,6,1.0,0.0,21,4.8,,,-0.4,0.2,-0.3
20,21.0,Phil Roberto,27.0,RW,37,1,7.0,8.0,-2,68,1.0,0.0,0.0,0,6,1.0,0.0,55,1.8,,,-0.9,0.5,-0.3
21,22.0,Bryan Hextall,34.0,C,21,0,4.0,4.0,-4,29,0.0,0.0,0.0,0,2,2.0,0.0,17,0.0,,,-0.6,0.2,-0.4
22,23.0,Larry Giroux,24.0,D,10,1,1.0,2.0,-10,25,1.0,0.0,0.0,0,1,0.0,0.0,9,11.1,,,0.0,0.0,0.0
23,24.0,Mike Wong,21.0,C,22,1,1.0,2.0,-11,12,1.0,0.0,0.0,0,0,1.0,0.0,9,11.1,,,-0.7,0.0,-0.7
24,25.0,Frank Bathe,21.0,D,7,0,1.0,1.0,-1,9,0.0,0.0,0.0,0,1,0.0,0.0,6,0.0,,,-0.1,0.3,0.3
