,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Marcel Dionne,23.0,C,80,47,74,121,-15,14,22.0,15.0,10.0,1,43,29.0,2.0,378,12.4,,,10.0,1.0,11.0
1,2.0,Danny Grant,28.0,LW,80,50,37,87,-12,28,30.0,19.0,1.0,6,21,11.0,5.0,238,21.0,,,7.5,1.1,8.6
2,3.0,Nick Libett,29.0,LW,80,23,28,51,-41,39,14.0,8.0,1.0,2,17,11.0,0.0,195,11.8,,,2.5,0.2,2.7
3,4.0,Bill Hogaboam,25.0,C,60,14,27,41,-34,16,7.0,6.0,1.0,1,16,10.0,1.0,129,10.9,,,1.8,0.1,1.9
4,5.0,Phil Roberto,26.0,RW,46,13,27,40,-10,30,8.0,5.0,0.0,2,18,9.0,0.0,113,11.5,,,2.3,0.5,2.8
5,6.0,Gary Bergman,36.0,D,76,5,25,30,-25,104,2.0,2.0,1.0,0,16,8.0,1.0,102,4.9,,,1.2,2.7,4.0
6,7.0,Bill Lochead,20.0,RW,65,16,12,28,-30,34,13.0,3.0,0.0,2,7,5.0,0.0,115,13.9,,,0.7,0.3,1.0
7,8.0,Mickey Redmond,27.0,RW,29,15,12,27,-12,18,10.0,5.0,0.0,1,8,4.0,0.0,93,16.1,,,2.1,0.2,2.3
8,9.0,Jean Hamel,22.0,D,80,5,19,24,-40,136,5.0,0.0,0.0,0,11,5.0,3.0,111,4.5,,,0.7,2.0,2.7
9,10.0,Hank Nowak,24.0,LW,56,8,14,22,-34,69,7.0,1.0,0.0,0,14,0.0,0.0,110,7.3,,,0.0,0.0,0.0
10,11.0,Larry Giroux,23.0,D,39,2,20,22,-9,60,1.0,1.0,0.0,1,7,13.0,0.0,59,3.4,,,1.1,1.6,2.7
11,12.0,Pierre Jarry,25.0,LW,39,8,13,21,-12,4,8.0,0.0,0.0,1,6,7.0,0.0,90,8.9,,,0.7,0.3,1.0
12,13.0,Michel Bergeron,20.0,RW,25,10,7,17,5,10,9.0,1.0,0.0,0,7,0.0,0.0,51,19.6,,,1.1,0.6,1.7
13,14.0,Walt McKechnie,27.0,C,23,6,11,17,-3,6,5.0,1.0,0.0,2,7,3.0,1.0,41,14.6,,,0.9,0.3,1.2
14,15.0,Bart Crashley,28.0,D,48,2,15,17,-9,14,2.0,0.0,0.0,0,11,2.0,2.0,44,4.5,,,0.5,2.1,2.7
