,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Gordie Howe,40.0,RW,76,44,59,103,45,58,35.0,9.0,0.0,6,43,16.0,0.0,284,15.5,,,10.1,2.4,12.5
1,2.0,Alex Delvecchio,36.0,C,72,25,58,83,42,8,18.0,7.0,0.0,2,47,10.0,1.0,221,11.3,,,6.7,2.2,8.9
2,3.0,Frank Mahovlich,31.0,LW,76,49,29,78,44,38,42.0,7.0,0.0,5,23,6.0,0.0,293,16.7,,,8.3,2.3,10.6
3,4.0,Pete Stemkowski,25.0,C,71,21,31,52,3,81,16.0,3.0,2.0,4,28,3.0,0.0,209,10.0,,,3.5,0.9,4.4
4,5.0,Garry Unger,21.0,C,76,24,20,44,7,33,18.0,5.0,1.0,4,15,5.0,0.0,186,12.9,,,2.8,1.1,3.9
5,6.0,Bruce MacGregor,27.0,RW,69,18,23,41,6,14,13.0,2.0,3.0,3,22,1.0,0.0,168,10.7,,,2.3,1.0,3.3
6,7.0,Gary Bergman,30.0,D,76,7,30,37,44,80,5.0,2.0,0.0,2,26,4.0,0.0,190,3.7,,,2.6,6.5,9.0
7,8.0,Dean Prentice,36.0,LW,74,14,20,34,-8,18,11.0,2.0,1.0,1,16,2.0,2.0,191,7.3,,,1.0,0.5,1.6
8,9.0,Kent Douglas,32.0,D,69,2,29,31,5,97,1.0,1.0,0.0,0,16,12.0,1.0,114,1.8,,,1.7,3.5,5.2
9,10.0,Nick Libett,23.0,LW,75,10,14,24,-11,34,9.0,1.0,0.0,2,12,1.0,1.0,98,10.2,,,-0.3,0.5,0.1
10,11.0,Bob Baun,32.0,D,76,4,16,20,26,121,4.0,0.0,0.0,0,15,1.0,0.0,117,3.4,,,0.7,5.2,6.0
11,12.0,Ron Harris,26.0,D,72,3,13,16,7,91,3.0,0.0,0.0,1,13,0.0,0.0,74,4.1,,,0.3,3.8,4.1
12,13.0,Poul Popiel,25.0,D,62,2,13,15,10,82,2.0,0.0,0.0,2,12,1.0,0.0,99,2.0,,,0.3,3.5,3.9
13,14.0,Wayne Connelly,29.0,RW,19,4,9,13,-10,0,3.0,1.0,0.0,0,3,6.0,0.0,58,6.9,,,0.7,-0.1,0.6
14,15.0,Danny Lawson,21.0,RW,44,5,7,12,-2,21,5.0,0.0,0.0,0,6,1.0,0.0,58,8.6,,,-0.5,0.4,0.0
15,16.0,Hank Monteith,23.0,LW,34,1,9,10,4,6,1.0,0.0,0.0,0,6,3.0,0.0,20,5.0,,,-0.5,0.5,0.0
16,17.0,Rene Leclerc,21.0,RW,43,2,3,5,-7,62,2.0,0.0,0.0,0,3,0.0,0.0,38,5.3,,,-1.3,0.2,-1.1
17,18.0,Pete Mahovlich,22.0,C,30,2,2,4,-10,21,2.0,0.0,0.0,0,2,0.0,0.0,37,5.4,,,-0.8,0.0,-0.8
18,19.0,Ed Hatoum,21.0,RW,16,2,1,3,1,2,2.0,0.0,0.0,1,1,0.0,0.0,20,10.0,,,-0.3,0.2,-0.1
19,20.0,Jim Watson,25.0,D,8,0,1,1,-3,4,0.0,0.0,0.0,0,1,0.0,0.0,5,0.0,,,-0.1,0.2,0.1
20,21.0,Ron Anderson,23.0,RW,7,0,0,0,-3,8,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,,,-0.3,0.0,-0.3
21,22.0,Bart Crashley,22.0,D,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,,,,0.0,0.0,0.0
22,23.0,Roger Crozier,26.0,G,35,0,0,0,0,0,,,,0,0,,,0,,1818.0,51:56,0.0,0.0,3.9
23,24.0,Roy Edwards,31.0,G,40,0,0,0,0,0,,,,0,0,,,0,,2098.0,52:27,0.0,0.0,7.1
24,25.0,Bob Falkenberg,23.0,D,5,0,0,0,-3,0,0.0,0.0,0.0,0,0,0.0,0.0,0,,,,-0.1,0.0,-0.1
25,26.0,Gerry Hart,21.0,D,1,0,0,0,0,2,0.0,0.0,0.0,0,0,0.0,0.0,0,,,,0.0,0.0,0.0
26,27.0,Rick McCann,24.0,C,3,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,2,0.0,,,-0.1,0.0,-0.1
27,28.0,Terry Sawchuk,39.0,G,13,0,0,0,0,0,,,,0,0,,,0,,640.0,49:13,0.0,0.0,2.1
28,29.0,Sandy Snow,22.0,RW,3,0,0,0,0,2,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,,,-0.1,0.0,-0.1
29,30.0,Fred Speck,21.0,C,5,0,0,0,0,2,0.0,0.0,0.0,0,0,0.0,0.0,6,0.0,,,-0.2,0.1,-0.2
