,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Daniel Alfredsson,41.0,RW,68,18,31,49,2.0,10,14,4,0,4,17,14,0,151,11.9,1151.0,16:56,4.4,1.3,5.8,25,59,5,9,35.7
1,2.0,Niklas Kronwall,33.0,D,79,8,41,49,0.0,44,3,5,0,0,20,20,1,110,7.3,1921.0,24:19,4.1,4.0,8.1,154,93,0,0,
2,3.0,Gustav Nyquist,24.0,RW,57,28,20,48,16.0,10,22,6,0,6,17,3,0,153,18.3,961.0,16:51,6.0,1.7,7.7,14,18,5,4,55.6
3,4.0,Henrik Zetterberg,33.0,LW,45,16,32,48,19.0,20,13,3,0,1,18,14,0,151,10.6,925.0,20:33,4.7,1.8,6.5,15,23,259,230,53.0
4,5.0,Johan Franzén,34.0,RW,54,16,25,41,6.0,40,9,7,0,4,15,10,0,149,10.7,954.0,17:39,3.8,1.3,5.1,23,66,119,106,52.9
5,6.0,Tomas Tatar,23.0,LW,73,19,20,39,12.0,30,17,2,0,3,16,4,0,158,12.0,1048.0,14:21,3.7,1.7,5.3,20,81,26,26,50.0
6,7.0,Pavel Datsyuk,35.0,C,45,17,20,37,1.0,6,11,6,0,2,14,6,0,126,13.5,912.0,20:16,3.6,1.0,4.6,22,30,446,389,53.4
7,8.0,Justin Abdelkader,26.0,LW,70,10,18,28,2.0,31,9,1,0,3,16,2,0,147,6.8,1070.0,15:17,1.3,1.2,2.6,31,172,23,32,41.8
8,9.0,Riley Sheahan,22.0,C,42,9,15,24,8.0,6,7,2,0,1,12,3,0,59,15.3,607.0,14:27,2.1,1.0,3.1,16,25,251,261,49.0
9,10.0,Danny DeKeyser,23.0,D,65,4,19,23,10.0,30,2,1,1,0,16,3,0,84,4.8,1407.0,21:38,1.3,3.8,5.1,116,64,0,0,
10,11.0,Darren Helm,27.0,C,42,12,8,20,2.0,14,9,1,2,3,8,0,0,83,14.5,637.0,15:10,1.9,0.8,2.6,16,73,269,279,49.1
11,12.0,Brendan Smith,24.0,D,71,5,14,19,-2.0,68,4,1,0,0,14,0,0,90,5.6,1306.0,18:23,1.1,2.5,3.7,69,57,0,0,
12,13.0,Jakub Kindl,26.0,D,66,2,17,19,-4.0,24,2,0,0,0,10,7,0,93,2.2,1137.0,17:14,1.0,2.0,3.0,42,57,0,0,
13,14.0,Joakim Andersson,24.0,C,65,8,9,17,-11.0,12,8,0,0,1,8,0,1,78,10.3,899.0,13:50,0.3,0.5,0.8,25,26,345,326,51.4
14,15.0,Todd Bertuzzi,38.0,RW,59,9,7,16,-17.0,40,3,6,0,0,6,1,0,100,9.0,865.0,14:39,0.4,0.2,0.6,14,72,9,9,50.0
15,16.0,Tomas Jurco,21.0,RW,36,8,7,15,0.0,14,6,2,0,0,6,1,0,77,10.4,485.0,13:28,1.3,0.5,1.8,9,67,0,0,
16,17.0,Drew Miller,29.0,LW,82,7,8,15,-11.0,21,7,0,0,1,8,0,0,117,6.0,1159.0,14:08,-0.8,0.8,0.0,63,122,9,14,39.1
17,18.0,Kyle Quincey,28.0,D,82,4,9,13,-5.0,88,4,0,0,1,9,0,0,106,3.8,1706.0,20:48,-0.2,3.1,2.9,109,88,0,0,
18,19.0,David Legwand,33.0,C,21,4,7,11,-9.0,31,2,2,0,2,6,1,0,39,10.3,342.0,16:16,0.8,0.0,0.7,9,19,131,137,48.9
19,20.0,Jonathan Ericsson,29.0,D,48,1,10,11,2.0,34,1,0,0,0,9,0,1,66,1.5,1020.0,21:15,0.1,2.3,2.4,46,91,0,0,
20,21.0,Dan Cleary,35.0,RW,52,4,4,8,-11.0,31,4,0,0,1,3,0,1,64,6.3,723.0,13:54,-0.7,0.3,-0.4,17,51,12,10,54.5
21,22.0,Luke Glendening,24.0,C,56,1,6,7,-8.0,22,1,0,0,0,6,0,0,54,1.9,779.0,13:55,-1.3,0.5,-0.8,38,92,329,349,48.5
22,23.0,Brian Lashoff,23.0,D,75,1,5,6,-2.0,36,1,0,0,0,5,0,0,38,2.6,1082.0,14:26,-0.6,2.1,1.5,93,65,0,0,
23,24.0,Patrick Eaves,29.0,RW,25,2,3,5,-4.0,2,1,1,0,0,1,2,0,51,3.9,289.0,11:33,0.0,0.1,0.1,4,38,7,8,46.7
24,25.0,Stephen Weiss,30.0,C,26,2,2,4,-4.0,12,2,0,0,1,1,0,1,28,7.1,384.0,14:46,-0.4,0.2,-0.2,10,4,184,173,51.5
25,26.0,Mikael Samuelsson,37.0,RW,26,1,2,3,-4.0,6,1,0,0,0,0,2,0,36,2.8,269.0,10:21,-0.3,0.1,-0.2,3,13,0,2,0.0
26,27.0,Cory Emmerton,25.0,C,18,0,2,2,-2.0,4,0,0,0,0,2,0,0,22,0.0,161.0,8:57,-0.2,0.1,-0.1,5,7,58,49,54.2
27,28.0,Adam Almqvist,22.0,D,2,1,0,1,-1.0,0,1,0,0,0,0,0,0,2,50.0,34.0,17:13,0.2,0.0,0.2,0,1,0,0,
28,29.0,Jordin Tootoo,30.0,RW,11,0,1,1,-3.0,5,0,0,0,0,1,0,0,11,0.0,77.0,6:59,-0.1,0.0,-0.1,1,27,0,0,
29,30.0,Mitch Callahan,22.0,RW,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,9.0,9:01,0.0,0.0,0.0,0,2,0,0,
30,31.0,Landon Ferraro,22.0,C,4,0,0,0,0.0,2,0,0,0,0,0,0,0,2,0.0,36.0,8:59,-0.1,0.0,-0.1,2,7,0,0,
31,32.0,Jonas Gustavsson,29.0,G,27,0,0,0,,0,0,0,0,0,0,0,0,0,,1551.0,57:26,0.0,0.0,3.9,0,0,0,0,
32,33.0,Jimmy Howard,29.0,G,51,0,0,0,,6,0,0,0,0,0,0,0,0,,3004.0,58:54,0.0,0.0,8.3,0,0,0,0,
33,34.0,Alexey Marchenko,22.0,D,1,0,0,0,2.0,2,0,0,0,0,0,0,0,0,,13.0,13:21,0.0,0.2,0.2,0,0,0,0,
34,35.0,Petr Mrazek,21.0,G,9,0,0,0,,0,0,0,0,0,0,0,0,0,,449.0,49:51,0.0,0.0,1.4,0,0,0,0,
35,36.0,Xavier Ouellet,20.0,D,4,0,0,0,0.0,2,0,0,0,0,0,0,0,4,0.0,58.0,14:34,-0.1,0.1,0.0,1,7,0,0,
36,37.0,Teemu Pulkkinen,22.0,RW,3,0,0,0,0.0,2,0,0,0,0,0,0,0,4,0.0,22.0,7:28,-0.1,0.0,0.0,0,2,0,0,
37,38.0,Ryan Sproul,21.0,D,1,0,0,0,0.0,0,0,0,0,0,0,0,0,3,0.0,18.0,18:25,0.0,0.0,0.0,2,2,0,0,
