,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Ted Lindsay,24.0,LW,69,23,55,78,,141,19.0,4.0,0.0,4.0,41,14.0,0.0,,,,,7.8,1.2,9.0
1,2.0,Sid Abel,31.0,C,69,34,35,69,,46,23.0,11.0,0.0,3.0,22,13.0,0.0,,,,,8.0,1.2,9.2
2,3.0,Gordie Howe,21.0,RW,70,35,33,68,,69,30.0,5.0,0.0,4.0,21,12.0,0.0,,,,,8.0,1.2,9.2
3,4.0,Red Kelly,22.0,D,70,15,25,40,,9,8.0,7.0,0.0,5.0,18,7.0,0.0,,,,,4.8,4.8,9.6
4,5.0,George Gee,27.0,C,69,17,21,38,,42,15.0,2.0,0.0,3.0,18,3.0,0.0,,,,,2.8,1.2,3.9
5,6.0,Gerry Couture,24.0,RW,69,24,7,31,,21,18.0,6.0,0.0,1.0,7,0.0,0.0,,,,,2.8,1.2,3.9
6,7.0,Jim McFadden,29.0,C,68,14,16,30,,8,12.0,2.0,0.0,3.0,10,6.0,0.0,,,,,1.6,1.2,2.8
7,8.0,Jimmy Peters,27.0,RW,70,14,16,30,,20,12.0,2.0,0.0,0.0,15,1.0,0.0,,,,,1.5,1.2,2.7
8,9.0,Joe Carveth,31.0,RW,59,13,17,30,,11,3.0,10.0,0.0,8.0,4,13.0,0.0,,,,,1.9,1.0,2.9
9,10.0,Marty Pavelich,22.0,LW,65,8,15,23,,58,6.0,2.0,0.0,0.0,12,3.0,0.0,,,,,0.3,1.1,1.4
10,11.0,Steve Black,22.0,LW,69,7,14,21,,53,7.0,0.0,0.0,1.0,13,1.0,0.0,,,,,-0.2,1.2,1.0
11,12.0,Leo Reise,27.0,D,70,4,17,21,,46,2.0,2.0,0.0,2.0,13,4.0,0.0,,,,,1.5,4.8,6.4
12,13.0,Jack Stewart,32.0,D,65,3,11,14,,86,3.0,0.0,0.0,1.0,11,0.0,0.0,,,,,0.7,4.5,5.2
13,14.0,Pete Babando,24.0,LW,56,6,6,12,,25,6.0,0.0,0.0,1.0,5,1.0,0.0,,,,,-0.7,1.0,0.3
14,15.0,Lee Fogolin,23.0,D,63,4,8,12,,63,4.0,0.0,0.0,0.0,7,1.0,0.0,,,,,0.6,4.4,5.0
15,16.0,Max McNab,25.0,C,65,4,4,8,,8,3.0,1.0,0.0,0.0,4,0.0,0.0,,,,,-1.8,1.1,-0.6
16,17.0,Clare Martin,27.0,D,64,2,5,7,,14,2.0,0.0,0.0,1.0,5,0.0,0.0,,,,,-0.1,4.4,4.3
17,18.0,Al Dewsbury,23.0,D,11,2,2,4,,2,1.0,1.0,0.0,0.0,1,1.0,0.0,,,,,0.5,0.8,1.2
18,19.0,Fred Glover,22.0,C,7,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.3,0.1,-0.2
19,20.0,Harry Lumley,23.0,G,63,0,0,0,,10,,,,,0,,,,,3780.0,60:00,0.0,0.0,13.0
20,21.0,Terry Sawchuk,20.0,G,7,0,0,0,,0,,,,,0,,,,,420.0,60:00,0.0,0.0,1.5
21,22.0,Enio Sclisizzi,24.0,LW,4,0,0,0,,2,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.2,0.1,-0.1
22,23.0,Glen Skov,19.0,C,2,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.1,0.0,-0.1
23,24.0,Johnny Wilson,20.0,LW,1,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0,0.0
24,25.0,Larry Wilson,19.0,C,1,0,0,0,,2,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0,0.0
