,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
0,1.0,Sid Abel,30.0,C,60,28,26,54,,49,19.0,8.0,1.0,5.0,18,7.0,1.0,,,,,6.2,1.0,7.3
1,2.0,Ted Lindsay,23.0,LW,50,26,28,54,,97,19.0,6.0,1.0,4.0,21,7.0,0.0,,,,,6.5,0.9,7.4
2,3.0,Bud Poile,24.0,RW,56,21,21,42,,6,15.0,6.0,0.0,5.0,11,10.0,0.0,,,,,4.3,1.0,5.3
3,4.0,Gordie Howe,20.0,RW,40,12,25,37,,57,10.0,2.0,0.0,2.0,21,4.0,0.0,,,,,3.5,0.7,4.2
4,5.0,Jim McFadden,28.0,C,55,12,20,32,,10,8.0,4.0,0.0,3.0,14,5.0,1.0,,,,,2.2,1.0,3.2
5,6.0,Pete Horeck,25.0,LW,60,14,16,30,,46,11.0,3.0,0.0,4.0,12,4.0,0.0,,,,,2.0,1.0,3.0
6,7.0,Gerry Couture,23.0,RW,51,19,10,29,,6,15.0,4.0,0.0,4.0,8,2.0,0.0,,,,,2.9,0.9,3.8
7,8.0,Marty Pavelich,21.0,LW,60,10,16,26,,40,8.0,2.0,0.0,2.0,15,1.0,0.0,,,,,1.1,1.0,2.1
8,9.0,Max McNab,24.0,C,51,10,13,23,,14,9.0,1.0,0.0,1.0,10,3.0,0.0,,,,,1.2,0.9,2.1
9,10.0,Bill Quackenbush,26.0,D,60,6,17,23,,0,4.0,2.0,0.0,1.0,13,4.0,0.0,,,,,2.2,4.2,6.4
10,11.0,George Gee,26.0,C,47,7,12,19,,29,7.0,0.0,0.0,0.0,11,1.0,0.0,,,,,0.6,0.8,1.4
11,12.0,Enio Sclisizzi,23.0,LW,50,9,8,17,,24,8.0,1.0,0.0,0.0,6,2.0,0.0,,,,,0.5,0.9,1.3
12,13.0,Red Kelly,21.0,D,59,5,11,16,,10,4.0,0.0,1.0,2.0,6,5.0,0.0,,,,,1.3,4.1,5.4
13,14.0,Jack Stewart,31.0,D,60,4,11,15,,96,4.0,0.0,0.0,0.0,9,2.0,0.0,,,,,1.1,4.2,5.2
14,15.0,Leo Reise,26.0,D,59,3,7,10,,60,3.0,0.0,0.0,0.0,6,1.0,0.0,,,,,0.4,4.1,4.5
15,16.0,Pat Lundy,24.0,C,15,4,3,7,,4,4.0,0.0,0.0,0.0,3,0.0,0.0,,,,,0.5,0.3,0.8
16,17.0,Fern Gauthier,29.0,RW,41,3,2,5,,0,2.0,0.0,1.0,1.0,1,0.0,1.0,,,,,-1.1,0.7,-0.4
17,18.0,Lee Fogolin,22.0,D,43,1,2,3,,59,1.0,0.0,0.0,0.0,2,0.0,0.0,,,,,-0.3,3.0,2.7
18,19.0,Jim Conacher,27.0,C,4,1,0,1,,2,1.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.1,0.1
19,20.0,Don Morrison,25.0,C,13,0,1,1,,0,0.0,0.0,0.0,0.0,1,0.0,0.0,,,,,-0.5,0.2,-0.3
20,21.0,Eddie Bruneteau,29.0,RW,1,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0,0.0
21,22.0,Bep Guidolin,23.0,LW,4,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,-0.2,0.1,-0.1
22,23.0,Harry Lumley,22.0,G,60,0,0,0,,12,,,,,0,,,,,3600.0,60:00,0.0,0.0,11.9
23,24.0,Calum MacKay,22.0,LW,1,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0,0.0
24,25.0,Doug McCaig,29.0,D,1,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.1,0.1
25,26.0,Nels Podolsky,23.0,LW,1,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0,0.0
